player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Rareș-Cătălin Burnete,ROU,FW,Lecce,Serie A,19,2004,0.1,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1,0.0,0.9,1.0,0.0,0.0,0.0,0.0
Mason Burstow,ENG,FW,Chelsea,Premier League,19,2003,0.1,3.0,4.0,75.0,29.0,1.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marnon Busch,GER,DF,Heidenheim,Bundesliga,28,1994,6.6,282.0,411.0,68.6,5437.0,2102.0,118.0,140.0,84.3,124.0,172.0,72.1,38.0,78.0,48.7,0,0.3,0.5,-0.3,5.0,32.0,9.0,2.0,34.0
Maxime Busi,BEL,"FW,DF",Reims,Ligue 1,23,1999,1.8,71.0,95.0,74.7,1205.0,526.0,30.0,32.0,93.8,35.0,46.0,76.1,4.0,11.0,36.4,0,0.2,0.1,-0.2,3.0,2.0,1.0,0.0,3.0
Pablo Busto,ESP,DF,Betis,La Liga,17,2005,0.5,18.0,26.0,69.2,254.0,79.0,11.0,14.0,78.6,5.0,7.0,71.4,1.0,3.0,33.3,0,0.2,0.1,-0.2,1.0,1.0,1.0,0.0,1.0
Aurélio Buta,POR,"DF,MF",Eint Frankfurt,Bundesliga,26,1997,19.4,875.0,1112.0,78.7,12888.0,4356.0,502.0,570.0,88.1,293.0,378.0,77.5,47.0,96.0,49.0,1,0.7,1.7,0.3,9.0,71.0,26.0,6.0,90.0
Marcin Bułka,POL,GK,Nice,Ligue 1,23,1999,34.0,1060.0,1235.0,85.8,21917.0,13487.0,351.0,355.0,98.9,500.0,513.0,97.5,185.0,337.0,54.9,0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0
Jamie Bynoe-Gittens,ENG,"FW,MF",Dortmund,Bundesliga,18,2004,11.8,284.0,363.0,78.2,3681.0,732.0,196.0,226.0,86.7,69.0,85.0,81.2,10.0,22.0,45.5,4,2.8,3.0,1.2,18.0,14.0,15.0,2.0,26.0
Rémy Cabella,FRA,"FW,MF",Lille,Ligue 1,33,1990,16.4,732.0,908.0,80.6,10534.0,3045.0,399.0,455.0,87.7,248.0,306.0,81.0,35.0,71.0,49.3,2,3.3,3.6,-1.3,32.0,67.0,24.0,0.0,106.0
Jovane Cabral,CPV,"MF,FW",Salernitana,Serie A,25,1998,7.5,185.0,245.0,75.5,3216.0,1015.0,86.0,100.0,86.0,66.0,86.0,76.7,23.0,37.0,62.2,0,0.4,0.6,-0.4,10.0,22.0,12.0,3.0,40.0
Liberato Cacace,NZL,DF,Empoli,Serie A,22,2000,21.2,832.0,1110.0,75.0,14084.0,5589.0,427.0,475.0,89.9,321.0,403.0,79.7,75.0,186.0,40.3,1,1.7,1.4,-0.7,21.0,67.0,13.0,5.0,84.0
Anthony Caci,FRA,DF,Mainz 05,Bundesliga,26,1997,27.6,1118.0,1523.0,73.4,21669.0,9351.0,448.0,531.0,84.4,484.0,626.0,77.3,167.0,290.0,57.6,3,2.9,3.5,0.1,25.0,123.0,39.0,14.0,144.0
Moisés Caicedo,ECU,MF,Chelsea,Premier League,21,2001,31.8,1907.0,2119.0,90.0,29696.0,8181.0,1046.0,1120.0,93.4,673.0,726.0,92.7,124.0,162.0,76.5,3,2.6,2.0,0.4,23.0,176.0,20.0,0.0,173.0
Tom Cairney,SCO,MF,Fulham,Premier League,32,1991,16.5,1126.0,1272.0,88.5,17463.0,3797.0,603.0,644.0,93.6,422.0,454.0,93.0,68.0,109.0,62.4,4,2.3,2.5,1.7,26.0,84.0,25.0,4.0,145.0
Jens Cajuste,SWE,MF,Napoli,Serie A,23,1999,11.3,369.0,435.0,84.8,5697.0,1065.0,198.0,218.0,90.8,144.0,171.0,84.2,19.0,22.0,86.4,2,1.1,0.7,0.9,15.0,35.0,10.0,1.0,37.0
Davide Calabria,ITA,DF,Milan,Serie A,26,1996,24.3,1320.0,1541.0,85.7,22285.0,6489.0,601.0,661.0,90.9,612.0,690.0,88.7,89.0,151.0,58.9,3,1.2,1.6,1.8,12.0,104.0,23.0,12.0,140.0
Riccardo Calafiori,ITA,DF,Bologna,Serie A,21,2002,26.1,1622.0,1810.0,89.6,28565.0,8660.0,684.0,737.0,92.8,792.0,844.0,93.8,123.0,172.0,71.5,5,1.2,0.9,3.8,17.0,94.0,10.0,3.0,96.0
Mattia Caldara,ITA,DF,Milan,Serie A,29,1994,0.4,20.0,24.0,83.3,345.0,117.0,7.0,8.0,87.5,12.0,12.0,100.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Luca Caldirola,ITA,DF,Monza,Serie A,32,1991,23.8,1247.0,1374.0,90.8,23794.0,7803.0,453.0,464.0,97.6,656.0,695.0,94.4,131.0,192.0,68.2,1,0.6,0.2,0.4,5.0,60.0,1.0,1.0,56.0
Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,26,1996,22.1,1051.0,1204.0,87.3,20032.0,7213.0,370.0,396.0,93.4,571.0,622.0,91.8,86.0,149.0,57.7,0,1.0,1.1,-1.0,7.0,45.0,2.0,0.0,61.0
Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,29,1994,28.4,2045.0,2316.0,88.3,37372.0,11241.0,885.0,934.0,94.8,853.0,933.0,91.4,258.0,364.0,70.9,3,4.7,5.8,-1.7,52.0,194.0,39.0,12.0,186.0
José Callejón,ESP,"MF,FW",Granada,La Liga,36,1987,8.9,286.0,368.0,77.7,5111.0,1497.0,143.0,157.0,91.1,95.0,124.0,76.6,38.0,71.0,53.5,1,1.5,1.4,-0.5,16.0,23.0,14.0,2.0,35.0
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,26,1997,24.1,248.0,440.0,56.4,2917.0,647.0,175.0,271.0,64.6,49.0,99.0,49.5,6.0,12.0,50.0,2,3.1,1.6,-1.1,19.0,13.0,12.0,0.0,31.0
Lamine Camara,SEN,MF,Metz,Ligue 1,19,2004,25.1,715.0,983.0,72.7,15402.0,5083.0,211.0,268.0,78.7,349.0,434.0,80.4,140.0,240.0,58.3,4,3.3,2.7,0.7,41.0,80.0,12.0,5.0,97.0
Mahdi Camara,FRA,MF,Brest,Ligue 1,25,1998,22.4,693.0,852.0,81.3,10625.0,2324.0,346.0,414.0,83.6,270.0,317.0,85.2,38.0,59.0,64.4,3,3.1,2.4,-0.1,32.0,63.0,18.0,10.0,81.0
Mohamed Camara,MLI,MF,Monaco,Ligue 1,23,2000,11.5,707.0,769.0,91.9,12236.0,3295.0,310.0,331.0,93.7,298.0,315.0,94.6,75.0,85.0,88.2,2,0.6,0.9,1.4,14.0,79.0,9.0,1.0,76.0
Francesco Camarda,ITA,FW,Milan,Serie A,15,2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,La Liga,20,2002,20.2,1205.0,1328.0,90.7,19473.0,4856.0,593.0,629.0,94.3,505.0,540.0,93.5,75.0,102.0,73.5,2,1.4,1.8,0.6,20.0,100.0,14.0,3.0,106.0
Nicolò Cambiaghi,ITA,"FW,MF",Empoli,Serie A,22,2000,28.4,483.0,694.0,69.6,7640.0,1560.0,255.0,301.0,84.7,173.0,240.0,72.1,34.0,78.0,43.6,1,2.8,2.7,-1.8,31.0,22.0,25.0,15.0,63.0
Andrea Cambiaso,ITA,"DF,FW",Juventus,Serie A,23,2000,26.4,1007.0,1207.0,83.4,16173.0,3526.0,516.0,565.0,91.3,387.0,450.0,86.0,73.0,104.0,70.2,3,3.9,3.8,-0.9,38.0,40.0,24.0,11.0,71.0
Axel Camblan,FRA,FW,Brest,Ligue 1,19,2003,1.0,18.0,22.0,81.8,294.0,39.0,4.0,4.0,100.0,10.0,13.0,76.9,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,22,2001,18.5,273.0,380.0,71.8,3658.0,839.0,163.0,207.0,78.7,75.0,104.0,72.1,13.0,24.0,54.2,1,1.3,1.3,-0.3,20.0,22.0,12.0,0.0,41.0
José Campaña,ESP,MF,Las Palmas,La Liga,30,1993,1.9,135.0,162.0,83.3,1965.0,715.0,75.0,83.0,90.4,48.0,51.0,94.1,6.0,14.0,42.9,0,0.0,0.1,0.0,0.0,7.0,2.0,0.0,15.0
Emre Can,GER,"MF,DF",Dortmund,Bundesliga,29,1994,21.7,1286.0,1471.0,87.4,22739.0,7316.0,545.0,603.0,90.4,603.0,656.0,91.9,114.0,157.0,72.6,2,1.5,1.3,0.5,20.0,110.0,8.0,0.0,110.0
Matteo Cancellieri,ITA,"FW,MF",Empoli,Serie A,21,2002,19.9,222.0,379.0,58.6,3245.0,789.0,128.0,172.0,74.4,72.0,117.0,61.5,12.0,42.0,28.6,3,2.9,2.1,0.1,17.0,13.0,9.0,3.0,26.0
João Cancelo,POR,DF,Barcelona,La Liga,29,1994,27.8,1533.0,1852.0,82.8,24552.0,6589.0,854.0,924.0,92.4,537.0,648.0,82.9,114.0,183.0,62.3,4,6.1,6.7,-2.1,35.0,123.0,37.0,11.0,141.0
Fali Candé,GNB,DF,Metz,Ligue 1,25,1998,20.5,628.0,799.0,78.6,14351.0,5183.0,141.0,170.0,82.9,373.0,422.0,88.4,113.0,192.0,58.9,1,0.5,0.2,0.5,6.0,38.0,2.0,0.0,38.0
Antonio Candreva,ITA,"MF,FW",Salernitana,Serie A,36,1987,30.6,1019.0,1407.0,72.4,17916.0,5994.0,496.0,546.0,90.8,343.0,486.0,70.6,130.0,268.0,48.5,6,5.0,4.1,1.0,60.0,110.0,56.0,21.0,149.0
Thomas Cannon,IRL,FW,Everton,Premier League,20,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Canós,ESP,"MF,FW",Valencia,La Liga,26,1997,13.7,260.0,405.0,64.2,4015.0,1421.0,131.0,174.0,75.3,96.0,127.0,75.6,20.0,53.0,37.7,2,2.4,2.1,-0.4,12.0,29.0,17.0,4.0,52.0
Luigi Canotto,ITA,FW,Frosinone,Serie A,29,1994,0.2,2.0,3.0,66.7,21.0,9.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gino Caoki,FRA,MF,Lorient,Ligue 1,19,2004,0.1,2.0,4.0,50.0,26.0,14.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Étienne Capoue,FRA,MF,Villarreal,La Liga,35,1988,16.2,699.0,813.0,86.0,11506.0,3135.0,361.0,392.0,92.1,274.0,314.0,87.3,53.0,76.0,69.7,1,0.6,1.0,0.4,9.0,73.0,11.0,1.0,80.0
Gianluca Caprari,ITA,"MF,FW",Monza,Serie A,30,1993,3.2,98.0,124.0,79.0,1784.0,475.0,49.0,53.0,92.5,31.0,38.0,81.6,17.0,24.0,70.8,0,0.7,0.7,-0.7,11.0,10.0,7.0,0.0,15.0
Elia Caprile,ITA,GK,Empoli,Serie A,21,2001,23.0,555.0,820.0,67.7,16234.0,12618.0,69.0,71.0,97.2,296.0,304.0,97.4,190.0,441.0,43.1,0,0.3,0.0,-0.3,2.0,13.0,0.0,0.0,0.0
Francesco Caputo,ITA,FW,Empoli,Serie A,35,1987,14.1,164.0,216.0,75.9,2140.0,396.0,93.0,118.0,78.8,42.0,47.0,89.4,9.0,14.0,64.3,0,0.7,0.8,-0.7,10.0,9.0,3.0,0.0,18.0
Maxence Caqueret,FRA,MF,Lyon,Ligue 1,23,2000,33.6,1661.0,2009.0,82.7,27376.0,10233.0,790.0,894.0,88.4,670.0,774.0,86.6,134.0,211.0,63.5,3,6.0,7.2,-3.0,57.0,205.0,62.0,7.0,286.0
Andrea Carboni,ITA,DF,Monza,Serie A,22,2001,16.5,833.0,976.0,85.3,14698.0,4909.0,352.0,384.0,91.7,411.0,447.0,91.9,65.0,122.0,53.3,0,0.5,0.4,-0.5,9.0,59.0,5.0,4.0,46.0
Valentin Carboni,ARG,"MF,FW",Monza,Serie A,18,2005,13.0,436.0,523.0,83.4,6962.0,1487.0,225.0,260.0,86.5,175.0,193.0,90.7,28.0,38.0,73.7,3,1.7,1.4,1.3,23.0,30.0,8.0,1.0,57.0
Isaac Carcelen,ESP,DF,Cádiz,La Liga,30,1993,29.0,851.0,1163.0,73.2,14161.0,5158.0,418.0,485.0,86.2,346.0,448.0,77.2,63.0,163.0,38.7,0,1.0,1.3,-1.0,17.0,54.0,16.0,9.0,75.0
Cárdenas,ESP,GK,Rayo Vallecano,La Liga,26,1997,1.0,26.0,40.0,65.0,566.0,402.0,7.0,7.0,100.0,16.0,16.0,100.0,3.0,17.0,17.6,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Irvin Cardona,FRA,"MF,DF",Augsburg,Bundesliga,25,1997,0.6,8.0,15.0,53.3,132.0,70.0,4.0,4.0,100.0,4.0,9.0,44.4,0.0,1.0,0.0,0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,2.0
Marc Cardona,ESP,FW,Las Palmas,La Liga,28,1995,8.0,170.0,227.0,74.9,1972.0,280.0,122.0,153.0,79.7,34.0,43.0,79.1,3.0,11.0,27.3,1,1.1,0.6,-0.1,8.0,9.0,6.0,1.0,13.0
Sergi Cardona,ESP,DF,Las Palmas,La Liga,24,1999,31.3,1727.0,2150.0,80.3,25147.0,9822.0,1011.0,1134.0,89.2,581.0,704.0,82.5,81.0,171.0,47.4,2,2.8,3.7,-0.8,39.0,108.0,39.0,15.0,160.0
Johnny Cardoso,USA,MF,Betis,La Liga,21,2001,14.8,539.0,640.0,84.2,8416.0,2177.0,288.0,325.0,88.6,201.0,228.0,88.2,31.0,46.0,67.4,2,0.5,1.0,1.5,8.0,41.0,8.0,1.0,45.0
Igor Carioca,BRA,"DF,MF",Lorient,Ligue 1,26,1996,2.9,115.0,162.0,71.0,1807.0,594.0,63.0,77.0,81.8,38.0,52.0,73.1,10.0,18.0,55.6,0,0.3,0.5,-0.3,2.0,5.0,3.0,2.0,8.0
Diego Carlos,BRA,DF,Aston Villa,Premier League,30,1993,20.2,1184.0,1340.0,88.4,23313.0,9315.0,357.0,378.0,94.4,714.0,749.0,95.3,107.0,199.0,53.8,0,0.1,0.4,-0.1,3.0,72.0,4.0,0.0,59.0
Carmona,ESP,"DF,MF",Getafe,La Liga,21,2002,14.6,419.0,570.0,73.5,6803.0,2258.0,225.0,259.0,86.9,144.0,199.0,72.4,40.0,77.0,51.9,1,1.0,1.4,0.0,10.0,29.0,12.0,5.0,39.0
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,23,2000,26.9,619.0,879.0,70.4,18321.0,13014.0,73.0,75.0,97.3,320.0,330.0,97.0,225.0,467.0,48.2,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Yannick Carrasco,BEL,DF,Atlético Madrid,La Liga,29,1993,2.5,65.0,88.0,73.9,1021.0,236.0,42.0,49.0,85.7,13.0,20.0,65.0,8.0,12.0,66.7,1,0.2,0.2,0.8,4.0,2.0,3.0,1.0,6.0
Álvaro Carreras,ESP,"MF,FW",Granada,La Liga,20,2003,5.3,169.0,222.0,76.1,2599.0,843.0,100.0,120.0,83.3,50.0,64.0,78.1,14.0,23.0,60.9,0,0.4,0.4,-0.4,7.0,10.0,8.0,3.0,14.0
Rasmus Carstensen,DEN,"DF,FW",Köln,Bundesliga,22,2000,18.4,594.0,827.0,71.8,8927.0,3429.0,330.0,386.0,85.5,231.0,302.0,76.5,23.0,69.0,33.3,0,2.6,3.3,-2.6,16.0,27.0,20.0,9.0,52.0
Antonin Cartillier,FRA,DF,Monaco,Ligue 1,19,2004,0.1,1.0,3.0,33.3,10.0,7.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dani Carvajal,ESP,DF,Real Madrid,La Liga,31,1992,24.1,1265.0,1475.0,85.8,19955.0,4535.0,679.0,744.0,91.3,486.0,552.0,88.0,76.0,111.0,68.5,3,2.7,3.1,0.3,21.0,52.0,26.0,5.0,82.0
Fabio Carvalho,POR,MF,RB Leipzig,Bundesliga,20,2002,1.8,72.0,92.0,78.3,855.0,219.0,54.0,60.0,90.0,14.0,21.0,66.7,2.0,5.0,40.0,0,0.2,0.2,-0.2,2.0,6.0,6.0,1.0,9.0
William Carvalho,POR,MF,Betis,La Liga,31,1992,7.6,560.0,634.0,88.3,8469.0,2540.0,319.0,343.0,93.0,182.0,204.0,89.2,36.0,50.0,72.0,3,0.7,0.7,2.3,10.0,67.0,8.0,0.0,58.0
Cesare Casadei,ITA,"FW,MF",Chelsea,Premier League,20,2003,0.9,53.0,65.0,81.5,792.0,155.0,29.0,34.0,85.3,17.0,22.0,77.3,4.0,4.0,100.0,0,0.1,0.1,-0.1,2.0,2.0,0.0,0.0,3.0
Marc Casado,ESP,MF,Barcelona,La Liga,19,2003,0.2,6.0,6.0,100.0,97.0,33.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Nicolò Casale,ITA,DF,Lazio,Serie A,25,1998,17.3,940.0,1024.0,91.8,17305.0,5880.0,360.0,383.0,94.0,489.0,519.0,94.2,81.0,102.0,79.4,0,0.0,0.2,0.0,2.0,66.0,1.0,0.0,49.0
Casemiro,BRA,"MF,DF",Manchester Utd,Premier League,31,1992,22.0,1165.0,1425.0,81.8,20136.0,7677.0,536.0,596.0,89.9,489.0,568.0,86.1,105.0,187.0,56.1,2,1.0,1.2,1.0,16.0,124.0,18.0,3.0,112.0
Kaelan Casey,ENG,DF,West Ham,Premier League,18,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty Cash,POL,DF,Aston Villa,Premier League,25,1997,23.8,985.0,1225.0,80.4,16094.0,4888.0,490.0,545.0,89.9,415.0,501.0,82.8,63.0,131.0,48.1,2,2.3,2.5,-0.3,13.0,69.0,19.0,8.0,88.0
Josué Casimir,FRA,"FW,DF",Le Havre,Ligue 1,21,2001,22.4,572.0,781.0,73.2,8814.0,2672.0,287.0,363.0,79.1,224.0,290.0,77.2,33.0,75.0,44.0,5,4.3,3.0,0.7,31.0,34.0,19.0,5.0,62.0
Giuseppe Caso,ITA,"FW,MF",Frosinone,Serie A,24,1998,4.6,95.0,112.0,84.8,1144.0,413.0,67.0,74.0,90.5,17.0,23.0,73.9,3.0,4.0,75.0,0,0.2,0.2,-0.2,3.0,5.0,8.0,0.0,20.0
Cristian Cásseres Jr.,VEN,MF,Toulouse,Ligue 1,23,2000,21.6,837.0,1030.0,81.3,14686.0,3969.0,366.0,424.0,86.3,376.0,432.0,87.0,79.0,128.0,61.7,3,1.7,2.0,1.3,15.0,65.0,5.0,2.0,87.0
Timothy Castagne,BEL,DF,Fulham,Premier League,27,1995,29.3,1350.0,1662.0,81.2,21238.0,7361.0,705.0,794.0,88.8,514.0,595.0,86.4,91.0,162.0,56.2,3,1.9,1.8,1.1,18.0,74.0,17.0,8.0,77.0
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,31,1992,25.0,688.0,949.0,72.5,20991.0,15027.0,104.0,105.0,99.0,300.0,305.0,98.4,283.0,535.0,52.9,0,0.2,0.1,-0.2,1.0,29.0,0.0,0.0,1.0
Valentín Castellanos,ARG,FW,Lazio,Serie A,24,1998,18.7,272.0,452.0,60.2,3651.0,962.0,162.0,237.0,68.4,74.0,124.0,59.7,16.0,25.0,64.0,3,1.7,1.1,1.3,19.0,27.0,15.0,1.0,47.0
Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,28,1995,27.4,1147.0,1340.0,85.6,20580.0,7724.0,429.0,470.0,91.3,590.0,661.0,89.3,93.0,161.0,57.8,0,0.8,1.2,-0.8,10.0,85.0,10.0,3.0,100.0
Samu Castillejo,ESP,"FW,MF",Sassuolo,Serie A,28,1995,6.0,213.0,283.0,75.3,3239.0,693.0,109.0,120.0,90.8,86.0,107.0,80.4,10.0,37.0,27.0,0,1.0,0.9,-1.0,15.0,14.0,6.0,4.0,26.0
Jonny Castro,ESP,MF,Wolves,Premier League,29,1994,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Castro,ARG,FW,Bologna,Serie A,18,2004,2.7,43.0,52.0,82.7,675.0,64.0,30.0,35.0,85.7,7.0,8.0,87.5,5.0,6.0,83.3,1,0.5,0.0,0.5,1.0,2.0,0.0,0.0,1.0
Gaetano Castrovilli,ITA,"FW,MF",Fiorentina,Serie A,26,1997,4.1,75.0,116.0,64.7,1164.0,320.0,41.0,51.0,80.4,26.0,41.0,63.4,6.0,10.0,60.0,2,0.6,0.1,1.4,7.0,6.0,3.0,2.0,12.0
Danilo Cataldi,ITA,MF,Lazio,Serie A,28,1994,15.1,800.0,932.0,85.8,12545.0,3512.0,421.0,452.0,93.1,309.0,347.0,89.0,48.0,94.0,51.1,0,0.8,0.9,-0.8,11.0,79.0,8.0,2.0,69.0
Catena,ESP,DF,Osasuna,La Liga,28,1994,28.2,1095.0,1341.0,81.7,25279.0,10188.0,255.0,284.0,89.8,621.0,679.0,91.5,210.0,355.0,59.2,3,1.0,1.0,2.0,6.0,89.0,3.0,0.0,77.0
Maximiliano Caufriez,BEL,DF,Clermont Foot,Ligue 1,26,1997,18.4,780.0,892.0,87.4,13811.0,4348.0,328.0,360.0,91.1,347.0,384.0,90.4,82.0,109.0,75.2,1,0.2,0.3,0.8,9.0,48.0,5.0,2.0,61.0
Ivan Cavaleiro,POR,FW,Lille,Ligue 1,29,1993,8.6,207.0,282.0,73.4,2965.0,777.0,131.0,154.0,85.1,57.0,80.0,71.3,11.0,26.0,42.3,1,1.2,1.7,-0.2,12.0,7.0,10.0,2.0,23.0
Dani Ceballos,ESP,"MF,FW",Real Madrid,La Liga,26,1996,6.6,486.0,542.0,89.7,7205.0,1731.0,301.0,317.0,95.0,136.0,153.0,88.9,34.0,45.0,75.6,2,1.5,1.0,0.5,11.0,48.0,6.0,0.0,47.0
Emil Ceide,NOR,"FW,MF",Sassuolo,Serie A,21,2001,2.0,40.0,59.0,67.8,521.0,189.0,27.0,33.0,81.8,10.0,14.0,71.4,1.0,2.0,50.0,0,0.2,0.2,-0.2,4.0,2.0,2.0,0.0,3.0
Zeki Çelik,TUR,DF,Roma,Serie A,26,1997,7.5,284.0,341.0,83.3,4660.0,1360.0,139.0,158.0,88.0,116.0,137.0,84.7,18.0,31.0,58.1,0,0.6,0.4,-0.6,9.0,8.0,9.0,3.0,26.0
Álex Centelles,ESP,DF,Almería,La Liga,25,1997,10.9,400.0,544.0,73.5,6993.0,2843.0,193.0,214.0,90.2,162.0,199.0,81.4,39.0,96.0,40.6,1,1.6,1.0,-0.6,11.0,35.0,12.0,9.0,31.0
Fabien Centonze,FRA,DF,Hellas Verona,Serie A,27,1996,7.5,213.0,317.0,67.2,3365.0,1617.0,110.0,138.0,79.7,87.0,119.0,73.1,13.0,40.0,32.5,1,1.0,0.8,0.0,6.0,14.0,8.0,7.0,14.0
Fabien Centonze,FRA,DF,Nantes,Ligue 1,27,1996,1.0,37.0,51.0,72.5,640.0,242.0,15.0,20.0,75.0,16.0,21.0,76.2,5.0,8.0,62.5,0,0.0,0.2,0.0,0.0,1.0,3.0,3.0,1.0
Václav Černý,CZE,"FW,MF",Wolfsburg,Bundesliga,25,1997,10.2,255.0,364.0,70.1,3926.0,1237.0,145.0,173.0,83.8,71.0,109.0,65.1,24.0,45.0,53.3,1,0.9,2.5,0.1,14.0,21.0,21.0,2.0,37.0
Michele Cerofolini,ITA,GK,Frosinone,Serie A,24,1999,7.5,124.0,209.0,59.3,3261.0,2471.0,23.0,23.0,100.0,66.0,67.0,98.5,34.0,117.0,29.1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alberto Cerri,ITA,FW,Empoli,Serie A,27,1996,6.1,68.0,136.0,50.0,877.0,149.0,50.0,82.0,61.0,16.0,33.0,48.5,2.0,4.0,50.0,0,0.2,0.3,-0.2,4.0,2.0,1.0,0.0,9.0
Leonardo Cerri,ITA,DF,Juventus,Serie A,20,2003,0.1,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Cervi,ARG,"MF,DF",Celta Vigo,La Liga,29,1994,6.1,225.0,284.0,79.2,3302.0,1239.0,137.0,151.0,90.7,74.0,90.0,82.2,9.0,18.0,50.0,1,2.0,1.2,-1.0,10.0,16.0,4.0,0.0,24.0
Julian Chabot,GER,DF,Köln,Bundesliga,25,1998,30.0,1361.0,1616.0,84.2,25807.0,10115.0,498.0,548.0,90.9,725.0,798.0,90.9,127.0,245.0,51.8,0,0.4,1.5,-0.4,9.0,81.0,5.0,1.0,71.0
El Chadaille Bitshiabu,FRA,"DF,MF",RB Leipzig,Bundesliga,18,2005,0.4,48.0,59.0,81.4,829.0,270.0,24.0,26.0,92.3,17.0,22.0,77.3,7.0,9.0,77.8,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Fares Chaïbi,ALG,"FW,MF",Toulouse,Ligue 1,20,2002,0.6,28.0,40.0,70.0,472.0,135.0,12.0,14.0,85.7,10.0,14.0,71.4,3.0,8.0,37.5,1,0.2,0.2,0.8,2.0,3.0,2.0,0.0,5.0
Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,Bundesliga,20,2002,21.2,592.0,922.0,64.2,10022.0,3251.0,303.0,382.0,79.3,191.0,285.0,67.0,73.0,180.0,40.6,4,6.8,6.1,-2.8,51.0,57.0,39.0,10.0,86.0
Trevoh Chalobah,ENG,DF,Chelsea,Premier League,24,1999,10.6,700.0,783.0,89.4,12088.0,3518.0,278.0,302.0,92.1,377.0,397.0,95.0,35.0,70.0,50.0,0,0.1,0.4,-0.1,2.0,30.0,2.0,0.0,31.0
Muhammed Cham,AUT,"MF,FW",Clermont Foot,Ligue 1,22,2000,28.4,1055.0,1327.0,79.5,17640.0,4627.0,491.0,544.0,90.3,409.0,498.0,82.1,107.0,192.0,55.7,4,3.1,4.0,0.9,49.0,99.0,34.0,1.0,161.0
Calum Chambers,ENG,"MF,DF",Aston Villa,Premier League,28,1995,1.7,100.0,113.0,88.5,1705.0,512.0,47.0,50.0,94.0,45.0,47.0,95.7,6.0,10.0,60.0,1,0.1,0.0,0.9,1.0,2.0,0.0,0.0,5.0
Timothy Chandler,USA,"MF,DF",Eint Frankfurt,Bundesliga,33,1990,0.2,18.0,26.0,69.2,323.0,145.0,7.0,8.0,87.5,9.0,12.0,75.0,2.0,4.0,50.0,1,0.1,0.1,0.9,2.0,2.0,1.0,0.0,5.0
