player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,144.0,204.0,70.6,1847.0,385.0,94.0,122.0,77.0,41.0,60.0,68.3,3.0,6.0,50.0,0,0.7,0.4,-0.7,14.0,9.0,4.0,0.0,23.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,218.0,299.0,72.9,2929.0,719.0,135.0,162.0,83.3,61.0,83.0,73.5,8.0,18.0,44.4,1,2.0,1.6,-1.0,9.0,9.0,10.0,1.0,26.0
Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,634.0,840.0,75.5,8828.0,1713.0,412.0,491.0,83.9,185.0,245.0,75.5,20.0,38.0,52.6,1,3.7,3.5,-2.7,33.0,17.0,33.0,11.0,50.0
Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,13.8,578.0,669.0,86.4,10635.0,4097.0,216.0,246.0,87.8,294.0,323.0,91.0,52.0,73.0,71.2,0,0.1,0.5,-0.1,3.0,38.0,1.0,0.0,34.0
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,10.0,367.0,459.0,80.0,4683.0,1110.0,252.0,291.0,86.6,91.0,110.0,82.7,7.0,18.0,38.9,6,2.3,2.9,3.7,21.0,19.0,18.0,3.0,39.0
Yacine Adli,FRA,MF,Milan,Serie A,23,2000,15.6,1125.0,1300.0,86.5,20142.0,6752.0,489.0,534.0,91.6,487.0,534.0,91.2,120.0,177.0,67.8,2,2.2,2.0,-0.2,22.0,149.0,16.0,6.0,125.0
Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,5.0,5.0,100.0,75.0,28.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,115.0,130.0,88.5,1750.0,378.0,61.0,64.0,95.3,40.0,46.0,87.0,8.0,10.0,80.0,0,0.1,0.3,-0.1,3.0,11.0,4.0,0.0,15.0
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,1370.0,1503.0,91.2,21535.0,5798.0,729.0,773.0,94.3,525.0,562.0,93.4,79.0,103.0,76.7,1,1.5,1.0,-0.5,17.0,117.0,9.0,1.0,125.0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,1599.0,1838.0,87.0,32774.0,10984.0,476.0,525.0,90.7,855.0,926.0,92.3,240.0,343.0,70.0,1,1.5,1.6,-0.5,12.0,172.0,5.0,1.0,179.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,67.0,100.0,67.0,1906.0,1648.0,19.0,19.0,100.0,27.0,27.0,100.0,21.0,53.0,39.6,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,5.0,5.0,100.0,75.0,7.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,301.0,360.0,83.6,5285.0,1424.0,141.0,163.0,86.5,120.0,135.0,88.9,31.0,42.0,73.8,0,0.6,0.3,-0.6,9.0,36.0,5.0,1.0,35.0
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,488.0,669.0,72.9,7657.0,2921.0,246.0,292.0,84.2,203.0,253.0,80.2,27.0,67.0,40.3,0,0.6,1.4,-0.6,7.0,18.0,16.0,7.0,32.0
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,943.0,1177.0,80.1,19870.0,8804.0,335.0,360.0,93.1,452.0,493.0,91.7,143.0,297.0,48.1,0,0.3,0.4,-0.3,4.0,74.0,2.0,0.0,68.0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,1044.0,1282.0,81.4,15383.0,5987.0,594.0,666.0,89.2,369.0,443.0,83.3,44.0,93.0,47.3,3,2.9,4.0,0.1,26.0,73.0,42.0,14.0,110.0
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,4.0,8.0,50.0,48.0,23.0,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,150.0,187.0,80.2,2455.0,628.0,76.0,89.0,85.4,59.0,69.0,85.5,10.0,14.0,71.4,0,0.0,0.1,0.0,1.0,12.0,0.0,0.0,25.0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,745.0,988.0,75.4,12681.0,5037.0,334.0,384.0,87.0,345.0,422.0,81.8,53.0,137.0,38.7,0,0.8,0.6,-0.8,7.0,41.0,3.0,1.0,43.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,145.0,185.0,78.4,2918.0,1187.0,41.0,46.0,89.1,84.0,102.0,82.4,19.0,35.0,54.3,0,0.1,0.0,-0.1,1.0,8.0,1.0,0.0,12.0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,603.0,802.0,75.2,9610.0,4012.0,328.0,374.0,87.7,217.0,284.0,76.4,45.0,99.0,45.5,1,0.9,1.0,0.1,11.0,58.0,13.0,6.0,68.0
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,1005.0,1190.0,84.5,13946.0,3935.0,627.0,688.0,91.1,297.0,344.0,86.3,38.0,72.0,52.8,1,2.4,1.7,-1.4,25.0,60.0,13.0,4.0,99.0
Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,154.0,203.0,75.9,2377.0,486.0,73.0,98.0,74.5,58.0,70.0,82.9,10.0,15.0,66.7,0,0.3,0.3,-0.3,7.0,7.0,2.0,0.0,16.0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,610.0,810.0,75.3,10210.0,3786.0,291.0,337.0,86.4,263.0,332.0,79.2,45.0,103.0,43.7,1,2.3,2.7,-1.3,12.0,56.0,10.0,3.0,61.0
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,318.0,453.0,70.2,4546.0,479.0,172.0,241.0,71.4,105.0,145.0,72.4,15.0,19.0,78.9,0,1.0,1.6,-1.0,16.0,21.0,3.0,0.0,21.0
Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,2180.0,2334.0,93.4,35688.0,9787.0,1091.0,1136.0,96.0,923.0,975.0,94.7,126.0,163.0,77.3,0,0.5,1.8,-0.5,13.0,214.0,15.0,2.0,148.0
