player,nationality,position,team,comp_level,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Yannick Gerhardt,GER,"MF,DF",Wolfsburg,Bundesliga,29,1994,18.1,5,0,0,18,16,2,27,7,20,0.0,0.0,0,78.0,28.0,27.0,50.9
Anwar El Ghazi,NED,"MF,DF",Mainz 05,Bundesliga,28,1995,0.6,0,0,0,1,0,0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0
Farés Ghedjemis,FRA,"FW,MF",Frosinone,Serie A,20,2002,2.0,1,0,0,2,0,1,6,1,0,0.0,0.0,0,10.0,1.0,2.0,33.3
Saman Ghoddos,IRN,DF,Brentford,Premier League,29,1993,8.2,5,0,0,13,9,2,42,5,19,0.0,0.0,0,39.0,4.0,12.0,25.0
Lautaro Gianetti,ARG,DF,Udinese,Serie A,29,1993,7.0,4,0,0,9,0,0,0,19,4,0.0,0.0,1,25.0,8.0,8.0,50.0
Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest,Premier League,23,2000,35.1,9,0,0,37,57,6,182,17,24,0.0,0.0,0,179.0,60.0,68.0,46.9
Samuel Gigot,FRA,DF,Marseille,Ligue 1,29,1993,19.2,7,1,0,21,14,1,6,25,22,0.0,1.0,0,80.0,47.0,16.0,74.6
Bryan Gil,ESP,"FW,MF",Tottenham,Premier League,22,2001,2.3,0,0,0,2,3,1,11,3,0,0.0,0.0,0,16.0,0.0,3.0,0.0
David Gil,ESP,GK,Cádiz,La Liga,29,1994,4.1,1,0,0,0,2,0,0,0,0,0.0,0.0,0,2.0,4.0,0.0,100.0
Mario Gila,ESP,DF,Lazio,Serie A,22,2000,20.1,4,1,1,21,23,1,8,20,14,0.0,0.0,0,109.0,29.0,43.0,40.3
Alfie Gilchrist,ENG,DF,Chelsea,Premier League,19,2003,2.3,1,0,0,4,0,0,1,3,0,0.0,0.0,0,9.0,2.0,4.0,33.3
Billy Gilmour,SCO,MF,Brighton,Premier League,22,2001,23.6,8,1,0,22,30,0,34,11,16,0.0,0.0,0,132.0,11.0,20.0,35.5
Benedikt Gimber,GER,DF,Heidenheim,Bundesliga,26,1997,22.5,9,0,0,40,27,0,3,16,24,0.0,2.0,1,87.0,48.0,41.0,53.9
Gvidas Gineitis,LTU,MF,Torino,Serie A,19,2004,6.0,2,0,0,9,3,0,22,4,7,0.0,0.0,0,37.0,7.0,5.0,58.3
Matthias Ginter,GER,DF,Freiburg,Bundesliga,29,1994,21.3,3,0,0,8,15,0,16,16,15,0.0,0.0,1,100.0,50.0,29.0,63.3
Olivier Giroud,FRA,FW,Milan,Serie A,36,1986,26.3,1,1,0,31,24,14,3,6,11,0.0,1.0,0,29.0,59.0,57.0,50.9
Klaus Gjasula,ALB,"DF,MF",Darmstadt 98,Bundesliga,33,1989,15.1,7,1,0,23,11,0,7,19,22,0.0,1.0,0,69.0,34.0,27.0,55.7
Serge Gnabry,GER,"FW,MF",Bayern Munich,Bundesliga,28,1995,4.8,0,0,0,6,3,1,10,3,5,1.0,0.0,0,26.0,3.0,2.0,60.0
Ben Godfrey,ENG,DF,Everton,Premier League,25,1998,12.4,2,0,0,8,6,2,21,16,20,0.0,1.0,0,45.0,25.0,24.0,51.0
Edoardo Goldaniga,ITA,DF,Cagliari,Serie A,29,1993,11.2,3,0,0,14,10,3,10,15,7,0.0,0.0,0,37.0,18.0,18.0,50.0
Pierluigi Gollini,ITA,GK,Napoli,Serie A,28,1995,7.0,0,0,0,0,1,0,0,1,1,0.0,0.0,0,12.0,2.0,0.0,100.0
Aleksandr Golovin,RUS,"MF,FW",Monaco,Ligue 1,27,1996,23.9,8,1,0,25,36,3,110,21,30,1.0,0.0,0,133.0,12.0,18.0,40.0
André Gomes,POR,"MF,FW",Everton,Premier League,30,1993,5.6,4,0,0,17,5,0,26,3,4,0.0,0.0,0,34.0,1.0,8.0,11.1
Angel Gomes,ENG,MF,Lille,Ligue 1,22,2000,28.6,5,0,0,31,36,0,45,18,13,0.0,0.0,0,125.0,7.0,13.0,35.0
João Gomes,BRA,MF,Wolves,Premier League,22,2001,29.4,11,0,0,66,38,1,25,18,74,0.0,2.0,0,183.0,18.0,25.0,41.9
Toti Gomes,POR,DF,Wolves,Premier League,24,1999,30.8,7,0,0,38,13,2,13,26,25,0.0,0.0,0,136.0,56.0,30.0,65.1
Joe Gomez,ENG,DF,Liverpool,Premier League,26,1997,19.8,5,0,0,28,16,0,39,19,31,0.0,0.0,0,111.0,31.0,10.0,75.6
Maxi Gómez,URU,FW,Cádiz,La Liga,26,1996,12.9,2,0,0,20,32,13,20,3,4,0.0,0.0,0,15.0,71.0,69.0,50.7
Moi Gómez,ESP,"MF,FW",Osasuna,La Liga,29,1994,22.3,3,0,0,29,30,2,52,11,19,0.0,0.0,0,118.0,13.0,18.0,41.9
Papu Gómez,ARG,"MF,FW",Monza,Serie A,35,1988,0.5,0,0,0,0,0,0,5,1,0,0.0,0.0,0,3.0,0.0,0.0,0.0
Sergio Gómez,ESP,"FW,MF",Manchester City,Premier League,22,2000,0.6,0,0,0,2,0,1,4,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0
Unai Gómez,ESP,MF,Athletic Club,La Liga,20,2003,9.7,1,0,0,11,20,0,21,2,10,0.0,0.0,0,45.0,13.0,15.0,46.4
Iron Gomis,FRA,MF,Salernitana,Serie A,23,1999,1.5,0,0,0,2,2,1,1,2,1,0.0,0.0,0,10.0,3.0,0.0,100.0
Maxime Gonalons,FRA,MF,Clermont Foot,Ligue 1,34,1989,14.4,4,0,0,28,15,0,1,20,33,0.0,0.0,0,97.0,15.0,9.0,62.5
Édgar González,ESP,"DF,MF",Almería,La Liga,26,1997,28.0,7,1,1,29,7,3,2,38,21,0.0,1.0,0,93.0,70.0,59.0,54.3
Enso Gonzalez,PAR,"MF,DF",Wolves,Premier League,18,2005,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Fabio González,ESP,MF,Las Palmas,La Liga,26,1997,1.4,1,0,0,1,1,0,2,0,2,0.0,0.0,0,13.0,1.0,2.0,33.3
Giovanni González,URU,DF,Mallorca,La Liga,28,1994,27.4,6,0,0,38,20,3,62,31,45,0.0,1.0,0,154.0,37.0,36.0,50.7
Hugo González,ESP,"MF,FW",Valencia,La Liga,20,2003,1.0,0,0,0,3,2,2,9,0,1,0.0,0.0,0,8.0,0.0,4.0,0.0
Iñaki González,ESP,MF,Las Palmas,La Liga,19,2004,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Joan Gonzàlez,ESP,MF,Lecce,Serie A,21,2002,14.3,6,0,0,15,33,1,10,5,18,0.0,0.0,0,81.0,25.0,36.0,41.0
Nicolás González,ARG,FW,Fiorentina,Serie A,25,1998,21.3,1,0,0,21,36,2,39,12,18,0.0,0.0,0,84.0,64.0,50.0,56.1
Peter González,DOM,"MF,FW",Valencia,La Liga,21,2002,7.2,1,0,0,11,11,1,18,7,3,1.0,0.0,0,27.0,10.0,10.0,50.0
Urko González,ESP,MF,Real Sociedad,La Liga,22,2001,1.7,1,0,0,1,2,0,0,1,1,0.0,0.0,0,13.0,5.0,4.0,55.6
Anthony Gordon,ENG,FW,Newcastle Utd,Premier League,22,2001,32.1,12,1,1,38,67,8,111,7,34,6.0,0.0,0,125.0,9.0,17.0,34.6
Kaide Gordon,ENG,FW,Liverpool,Premier League,18,2004,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0
Daniel Gore,ENG,MF,Manchester Utd,Premier League,18,2004,0.0,0,0,0,0,1,0,0,1,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Leon Goretzka,GER,MF,Bayern Munich,Bundesliga,28,1995,24.9,3,0,0,23,14,2,10,31,23,0.0,0.0,0,171.0,36.0,29.0,55.4
Mathieu Gorgelin,FRA,GK,Le Havre,Ligue 1,32,1990,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0
Andoni Gorosabel,ESP,DF,Alavés,La Liga,26,1996,31.7,6,0,0,29,41,0,81,28,42,1.0,1.0,0,164.0,25.0,57.0,30.5
Robin Gosens,GER,"DF,MF",Union Berlin,Bundesliga,29,1994,25.4,9,1,1,29,24,17,64,36,44,0.0,1.0,0,100.0,60.0,44.0,57.7
Mario Götze,GER,MF,Eint Frankfurt,Bundesliga,31,1992,23.0,5,1,1,14,35,1,54,14,34,0.0,1.0,0,152.0,8.0,13.0,38.1
Amine Gouiri,ALG,"FW,MF",Rennes,Ligue 1,23,2000,23.0,2,0,0,27,23,1,7,14,10,1.0,0.0,0,75.0,15.0,19.0,44.1
Jeffrey Gouweleeuw,NED,DF,Augsburg,Bundesliga,32,1991,28.8,7,0,0,25,9,4,18,35,23,0.0,0.0,0,156.0,52.0,39.0,57.1
Pablo Gozalbez,ESP,"MF,FW",Valencia,La Liga,22,2001,1.1,0,0,0,6,2,1,1,1,0,0.0,0.0,0,6.0,1.0,5.0,16.7
Jonathan Gradit,FRA,DF,Lens,Ligue 1,30,1992,23.5,9,1,0,31,26,0,17,37,20,0.0,1.0,0,118.0,55.0,51.0,51.9
Jens Grahl,GER,GK,Eint Frankfurt,Bundesliga,34,1988,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0
Samuel Grandsir,FRA,"MF,FW",Le Havre,Ligue 1,26,1996,6.7,4,2,1,18,5,5,44,3,12,0.0,0.0,0,25.0,1.0,6.0,14.3
Alberto Grassi,ITA,MF,Empoli,Serie A,28,1995,20.1,6,1,1,22,33,0,5,41,18,0.0,0.0,1,124.0,28.0,30.0,48.3
Ryan Gravenberch,NED,MF,Liverpool,Premier League,21,2002,12.5,0,0,0,20,15,0,4,14,12,0.0,0.0,0,74.0,10.0,14.0,41.7
Ryan Gravenberch,NED,FW,Bayern Munich,Bundesliga,21,2002,0.1,1,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Adrian Grbić,AUT,FW,Lorient,Ligue 1,26,1996,0.3,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,2.0,1.0,66.7
Ivo Grbić,CRO,GK,Sheffield Utd,Premier League,27,1996,8.6,1,0,0,0,2,0,0,0,0,0.0,0.0,0,6.0,7.0,0.0,100.0
Jack Grealish,ENG,"FW,MF",Manchester City,Premier League,27,1995,11.2,6,0,0,6,41,2,16,6,8,0.0,0.0,0,42.0,3.0,4.0,42.9
Mason Greenwood,ENG,"MF,FW",Getafe,La Liga,21,2001,29.6,6,1,0,39,43,1,107,4,6,1.0,0.0,0,120.0,5.0,20.0,20.0
Michael Gregoritsch,AUT,FW,Freiburg,Bundesliga,29,1994,18.7,2,0,0,16,19,6,11,9,12,0.0,0.0,0,62.0,91.0,93.0,49.5
Dominik Greif,SVK,GK,Mallorca,La Liga,26,1997,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0
Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,La Liga,32,1991,29.4,5,0,0,16,26,14,123,10,19,0.0,0.0,0,100.0,14.0,27.0,34.1
Vincenzo Grifo,ITA,"MF,FW",Freiburg,Bundesliga,30,1993,25.8,3,0,0,13,16,6,173,15,20,1.0,1.0,0,130.0,12.0,20.0,37.5
Florian Grillitsch,AUT,"DF,MF",Hoffenheim,Bundesliga,27,1995,25.5,8,0,0,27,24,0,17,52,28,0.0,0.0,0,171.0,34.0,31.0,52.3
Álex Grimaldo,ESP,DF,Leverkusen,Bundesliga,27,1995,30.9,1,0,0,14,26,3,202,22,24,1.0,0.0,0,168.0,12.0,19.0,38.7
Christian Groß,GER,"DF,MF",Werder Bremen,Bundesliga,34,1989,8.9,1,0,0,15,5,2,8,13,16,0.0,1.0,0,54.0,16.0,28.0,36.4
Pascal Groß,GER,"MF,DF",Brighton,Premier League,32,1991,34.6,6,0,0,23,27,3,238,22,46,0.0,1.0,0,144.0,14.0,17.0,45.2
Brajan Gruda,GER,"MF,FW",Mainz 05,Bundesliga,19,2004,18.2,5,0,0,28,47,9,53,5,14,1.0,0.0,0,97.0,15.0,31.0,32.6
Ilia Gruev,BUL,MF,Werder Bremen,Bundesliga,23,2000,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Vicente Guaita,ESP,GK,Celta Vigo,La Liga,36,1987,26.7,2,0,0,1,5,0,0,0,1,0.0,1.0,1,21.0,11.0,1.0,91.7
Andrés Guardado,MEX,MF,Betis,La Liga,36,1986,5.0,2,0,0,10,3,0,11,6,12,0.0,0.0,0,37.0,4.0,7.0,36.4
Sergi Guardiola,ESP,"FW,MF",Cádiz,La Liga,32,1991,5.5,1,0,0,18,22,3,17,0,7,0.0,0.0,0,27.0,5.0,10.0,33.3
Nemanja Gudelj,SRB,"DF,MF",Sevilla,La Liga,31,1991,19.4,7,0,0,30,11,0,3,27,24,0.0,0.0,0,85.0,41.0,21.0,66.1
Gabriel Gudmundsson,SWE,"DF,FW",Lille,Ligue 1,24,1999,14.1,2,0,0,21,19,4,36,15,16,0.0,0.0,0,65.0,9.0,14.0,39.1
Gonçalo Guedes,POR,"FW,MF",Villarreal,La Liga,26,1996,10.6,0,0,0,5,16,3,27,2,4,0.0,0.0,0,29.0,2.0,10.0,16.7
Axel Gueguin,FRA,"DF,FW",Montpellier,Ligue 1,18,2005,1.5,0,0,0,0,3,0,2,2,5,0.0,0.0,0,10.0,2.0,2.0,50.0
Marc Guéhi,ENG,DF,Crystal Palace,Premier League,23,2000,22.5,2,0,0,14,26,0,3,18,19,0.0,0.0,0,120.0,29.0,29.0,50.0
Mattéo Guendouzi,FRA,MF,Lazio,Serie A,24,1999,26.3,3,1,0,26,34,0,42,21,15,0.0,1.0,0,120.0,12.0,25.0,32.4
Mattéo Guendouzi,FRA,MF,Marseille,Ligue 1,24,1999,0.2,0,0,0,0,1,0,1,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0
Javier Guerra,ESP,MF,Valencia,La Liga,20,2003,27.8,3,1,0,40,30,2,24,18,24,0.0,0.0,0,177.0,25.0,32.0,43.9
Raphaël Guerreiro,POR,"DF,MF",Bayern Munich,Bundesliga,29,1993,13.2,2,0,0,3,7,0,42,15,16,0.0,0.0,0,59.0,2.0,5.0,28.6
Axel Guessand,FRA,DF,Udinese,Serie A,18,2004,0.5,0,0,0,0,1,0,0,0,1,0.0,0.0,0,3.0,1.0,1.0,50.0
Evann Guessand,CIV,FW,Nice,Ligue 1,22,2001,17.3,1,0,0,32,47,5,11,12,7,3.0,0.0,0,56.0,24.0,26.0,48.0
Ander Guevara,ESP,MF,Alavés,La Liga,26,1997,32.6,7,0,0,48,30,0,8,13,32,1.0,0.0,0,218.0,45.0,41.0,52.3
Pape Gueye,SEN,"MF,DF",Marseille,Ligue 1,24,1999,8.5,2,0,0,20,18,1,9,13,21,0.0,0.0,0,52.0,15.0,9.0,62.5
Josuha Guilavogui,FRA,DF,Mainz 05,Bundesliga,32,1990,4.5,1,0,0,5,2,0,0,13,10,0.0,0.0,0,29.0,7.0,6.0,53.8
Morgan Guilavogui,GUI,"FW,MF",Lens,Ligue 1,25,1998,6.3,1,0,0,14,7,7,5,4,10,0.0,0.0,0,21.0,16.0,11.0,59.3
Frederic Guilbert,FRA,"DF,MF",Strasbourg,Ligue 1,28,1994,27.7,3,0,0,35,15,2,85,71,50,0.0,0.0,0,136.0,23.0,41.0,35.9
Hugo Guillamón,ESP,MF,Valencia,La Liga,23,2000,14.6,7,0,0,36,25,0,6,12,15,0.0,1.0,0,80.0,15.0,15.0,50.0
Bruno Guimarães,BRA,MF,Newcastle Utd,Premier League,25,1997,36.3,9,0,0,50,108,0,32,35,53,0.0,0.0,0,237.0,18.0,23.0,43.9
Serhou Guirassy,GUI,FW,Stuttgart,Bundesliga,27,1996,24.5,0,0,0,18,55,18,1,6,3,2.0,0.0,0,39.0,65.0,55.0,54.2
Marc Guiu,ESP,"FW,MF",Barcelona,La Liga,17,2006,0.8,1,0,0,1,2,1,0,0,0,0.0,0.0,0,1.0,1.0,3.0,25.0
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,33,1990,13.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,12.0,6.0,0.0,100.0
Manuel Gulde,GER,DF,Freiburg,Bundesliga,32,1991,22.7,5,1,1,17,15,1,3,25,23,0.0,0.0,0,78.0,49.0,33.0,59.8
Arda Güler,TUR,"FW,MF",Real Madrid,La Liga,18,2005,4.2,1,0,0,11,8,1,13,2,4,1.0,0.0,0,21.0,0.0,0.0,0.0
Gerard Gumbau,ESP,MF,Granada,La Liga,28,1994,29.7,12,0,0,62,26,0,150,25,34,0.0,0.0,0,126.0,23.0,24.0,48.9
Robert Gumny,POL,DF,Augsburg,Bundesliga,25,1998,5.3,3,0,0,7,5,0,8,7,5,0.0,0.0,0,22.0,3.0,2.0,60.0
İlkay Gündoğan,GER,MF,Barcelona,La Liga,32,1990,33.3,5,0,0,15,42,6,157,21,22,1.0,0.0,0,189.0,7.0,18.0,28.0
Christian Günter,GER,DF,Freiburg,Bundesliga,30,1993,11.8,1,0,0,8,3,1,62,2,12,0.0,0.0,0,32.0,5.0,10.0,33.3
Jon Guridi,ESP,MF,Alavés,La Liga,28,1995,29.8,2,0,0,21,30,2,21,22,24,0.0,0.0,0,131.0,45.0,47.0,48.9
Gorka Guruzeta,ESP,FW,Athletic Club,La Liga,26,1996,24.6,2,0,0,45,23,11,11,17,23,1.0,1.0,0,78.0,70.0,91.0,43.5
Malo Gusto,FRA,DF,Chelsea,Premier League,20,2003,19.5,7,1,0,22,30,6,64,17,27,0.0,1.0,0,126.0,8.0,19.0,29.6
Miguel Gutiérrez,ESP,DF,Girona,La Liga,22,2001,33.7,4,0,0,27,26,6,97,22,18,0.0,2.0,0,203.0,22.0,18.0,55.0
Albert Guðmundsson,ISL,"FW,MF",Genoa,Serie A,26,1997,33.5,4,0,0,28,46,11,179,11,10,1.0,0.0,0,136.0,3.0,22.0,12.0
Joško Gvardiol,CRO,DF,Manchester City,Premier League,21,2002,25.9,3,0,0,20,22,2,33,27,33,1.0,0.0,0,150.0,31.0,24.0,56.4
Emmanuel Gyasi,GHA,"DF,FW",Empoli,Serie A,29,1994,20.9,8,0,0,40,21,6,23,5,17,0.0,0.0,0,90.0,17.0,37.0,31.5
Norbert Gyömbér,SVK,DF,Salernitana,Serie A,31,1992,19.6,9,0,0,33,17,0,0,23,18,0.0,1.0,1,111.0,31.0,28.0,52.5
Erling Haaland,NOR,FW,Manchester City,Premier League,23,2000,28.4,1,0,0,18,31,6,5,2,3,2.0,0.0,0,47.0,39.0,42.0,48.1
Nicolas Haas,SUI,MF,Empoli,Serie A,27,1996,1.0,1,0,0,1,1,0,0,1,3,0.0,0.0,0,9.0,3.0,0.0,100.0
Janik Haberer,GER,"MF,DF",Union Berlin,Bundesliga,29,1994,13.6,7,0,0,22,16,1,15,12,24,0.0,0.0,0,95.0,20.0,19.0,51.3
Robin Hack,GER,"FW,MF",Gladbach,Bundesliga,24,1998,15.0,2,0,0,17,22,9,44,14,8,0.0,0.0,0,79.0,16.0,22.0,42.1
Antwoine Hackford,ENG,FW,Sheffield Utd,Premier League,19,2004,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Munir El Haddadi,MAR,FW,Las Palmas,La Liga,27,1995,27.2,3,0,0,30,73,21,41,11,27,0.0,0.0,0,91.0,19.0,42.0,31.1
Jaouen Hadjam,ALG,DF,Nantes,Ligue 1,20,2003,1.2,0,0,0,4,1,0,12,3,4,0.0,0.0,0,14.0,1.0,0.0,100.0
Ianis Hagi,ROU,"MF,FW",Alavés,La Liga,24,1998,8.9,3,0,0,13,19,1,54,5,12,0.0,0.0,0,33.0,13.0,11.0,54.2
Amadou Haidara,MLI,MF,RB Leipzig,Bundesliga,25,1998,17.0,5,0,0,14,15,2,4,21,27,1.0,0.0,0,96.0,34.0,18.0,65.4
Massadio Haïdara,MLI,DF,Lens,Ligue 1,30,1992,8.2,1,0,0,11,7,2,22,11,8,0.0,1.0,0,33.0,14.0,8.0,63.6
Oualid El Hajjam,MAR,"DF,MF",Le Havre,Ligue 1,32,1991,4.4,1,0,0,13,4,1,10,6,7,1.0,0.0,0,26.0,3.0,5.0,37.5
Achraf Hakimi,MAR,DF,Paris S-G,Ligue 1,24,1998,21.5,3,0,0,22,26,3,79,12,19,0.0,1.0,0,142.0,9.0,12.0,42.9
Lewis Hall,ENG,DF,Newcastle Utd,Premier League,18,2004,8.7,2,0,0,5,5,0,23,12,18,0.0,0.0,0,56.0,10.0,11.0,47.6
Sébastien Haller,CIV,FW,Dortmund,Bundesliga,29,1994,4.4,2,0,0,8,10,3,0,0,0,0.0,1.0,0,10.0,19.0,21.0,47.5
Gustavo Hamer,NED,MF,Sheffield Utd,Premier League,26,1997,32.3,9,0,0,50,17,6,115,29,21,0.0,1.0,0,162.0,6.0,16.0,27.3
Andreas Hanche-Olsen,NOR,DF,Mainz 05,Bundesliga,26,1997,11.0,5,0,0,13,8,1,0,11,12,0.0,1.0,0,38.0,29.0,15.0,65.9
Isak Hansen-Aarøen,NOR,MF,Werder Bremen,Bundesliga,18,2004,0.3,1,0,0,1,0,0,0,1,0,0.0,0.0,0,4.0,0.0,0.0,0.0
Ridgeciano Haps,SUR,DF,Genoa,Serie A,30,1993,8.6,0,0,0,3,16,1,16,6,6,0.0,0.0,0,33.0,10.0,6.0,62.5
Genki Haraguchi,JPN,MF,Stuttgart,Bundesliga,32,1991,0.3,0,0,0,2,0,0,0,0,1,0.0,0.0,0,2.0,0.0,0.0,0.0
Amine Harit,MAR,"MF,FW",Marseille,Ligue 1,26,1997,20.2,5,0,0,19,51,1,39,12,16,0.0,0.0,0,121.0,4.0,16.0,20.0
Luke Harris,WAL,MF,Fulham,Premier League,18,2005,0.8,0,0,0,2,2,0,0,0,1,0.0,0.0,0,3.0,0.0,0.0,0.0
Jack Harrison,ENG,"MF,FW",Everton,Premier League,26,1996,24.6,1,0,0,20,30,1,81,12,22,0.0,0.0,0,129.0,10.0,19.0,34.5
Abdou Harroui,NED,"MF,FW",Frosinone,Serie A,25,1998,11.3,2,0,0,18,16,1,12,5,11,0.0,0.0,0,53.0,12.0,8.0,60.0
Makoto Hasebe,JPN,"DF,MF",Eint Frankfurt,Bundesliga,39,1984,2.4,1,0,0,4,3,0,1,2,2,0.0,1.0,0,13.0,4.0,3.0,57.1
Daiki Hashioka,JPN,DF,Luton Town,Premier League,24,1999,6.6,0,0,0,10,6,0,9,8,5,0.0,0.0,2,26.0,12.0,12.0,50.0
Hans Hateboer,NED,DF,Atalanta,Serie A,29,1994,12.4,5,0,0,16,3,0,34,4,5,0.0,1.0,0,34.0,18.0,11.0,62.1
Pantelis Hatzidiakos,GRE,DF,Cagliari,Serie A,26,1997,9.5,1,0,0,7,4,0,6,13,10,0.0,0.0,0,50.0,5.0,9.0,35.7
Kai Havertz,GER,"MF,FW",Arsenal,Premier League,24,1999,29.3,11,0,0,49,44,15,12,20,15,1.0,0.0,0,122.0,102.0,101.0,50.2
Thorgan Hazard,BEL,DF,Dortmund,Bundesliga,30,1993,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Jan Paul van Hecke,NED,DF,Brighton,Premier League,23,2000,26.3,4,0,0,14,17,0,4,30,26,0.0,1.0,0,130.0,66.0,34.0,66.0
Hwang Hee-chan,KOR,"FW,MF",Wolves,Premier League,27,1996,23.5,6,0,0,31,32,15,11,10,10,1.0,1.0,0,75.0,7.0,44.0,13.7
Silvan Hefti,SUI,"MF,DF",Genoa,Serie A,25,1997,1.3,0,0,0,2,1,0,2,0,1,0.0,0.0,0,3.0,2.0,2.0,50.0
Silvan Hefti,SUI,"DF,FW",Montpellier,Ligue 1,25,1997,7.9,1,0,0,5,8,0,19,8,15,0.0,0.0,0,39.0,3.0,8.0,27.3
Dominique Heintz,GER,DF,Köln,Bundesliga,29,1993,6.3,0,0,0,7,4,1,23,3,5,0.0,0.0,0,30.0,11.0,11.0,50.0
Dean Henderson,ENG,GK,Crystal Palace,Premier League,26,1997,18.0,2,0,0,0,2,0,0,0,1,0.0,0.0,1,14.0,4.0,0.0,100.0
Liam Henderson,SCO,MF,Empoli,Serie A,27,1996,0.1,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Benjamin Henrichs,GER,DF,RB Leipzig,Bundesliga,26,1997,28.1,5,0,0,27,34,2,67,33,39,0.0,2.0,0,163.0,23.0,22.0,51.1
Henrique,BRA,DF,Lyon,Ligue 1,29,1994,6.7,2,0,0,7,8,0,17,10,6,0.0,0.0,0,24.0,5.0,5.0,50.0
Luis Henrique,BRA,"FW,DF",Marseille,Ligue 1,21,2001,8.7,0,0,0,1,2,6,27,8,7,0.0,0.0,0,58.0,0.0,0.0,0.0
Luiz Henrique,BRA,FW,Betis,La Liga,22,2001,6.8,1,0,0,7,15,0,24,5,11,0.0,0.0,0,29.0,15.0,14.0,51.7
Matheus Henrique,BRA,MF,Sassuolo,Serie A,25,1997,27.8,8,1,1,21,38,2,26,25,29,0.0,0.0,0,141.0,14.0,12.0,53.8
Rico Henry,ENG,DF,Brentford,Premier League,26,1997,4.5,1,0,0,4,6,2,11,5,5,0.0,0.0,0,24.0,4.0,5.0,44.4
Thomas Henry,FRA,FW,Hellas Verona,Serie A,28,1994,3.7,2,2,0,15,5,3,3,0,0,0.0,0.0,0,8.0,19.0,20.0,48.7
Christophe Hérelle,MTQ,DF,Metz,Ligue 1,30,1992,18.0,4,1,0,14,33,0,1,18,15,0.0,0.0,0,77.0,17.0,16.0,51.5
Mario Hermoso,ESP,DF,Atlético Madrid,La Liga,28,1995,28.4,9,0,0,32,23,1,38,30,25,1.0,0.0,0,168.0,46.0,32.0,59.0
Javi Hernández,ESP,DF,Cádiz,La Liga,25,1998,27.9,10,0,0,45,19,1,127,19,24,0.0,0.0,0,139.0,31.0,27.0,53.4
Aridane Hernández,ESP,DF,Rayo Vallecano,La Liga,34,1989,18.8,3,0,0,11,12,0,0,14,8,0.0,1.0,0,86.0,35.0,18.0,66.0
Lucas Hernández,FRA,DF,Paris S-G,Ligue 1,27,1996,21.2,6,0,0,23,30,1,19,27,36,1.0,0.0,0,124.0,23.0,16.0,59.0
Luis Hernández,ESP,DF,Cádiz,La Liga,34,1989,8.0,4,0,0,8,0,0,2,8,3,0.0,0.0,0,24.0,9.0,2.0,81.8
Theo Hernández,FRA,DF,Milan,Serie A,25,1997,31.0,11,1,0,38,50,2,68,23,17,1.0,1.0,0,172.0,29.0,18.0,61.7
Yarek Hernandis,ESP,DF,Valencia,La Liga,18,2005,8.2,1,0,0,11,2,0,6,15,12,0.0,0.0,1,15.0,15.0,4.0,78.9
Jorge Herrando,ESP,DF,Osasuna,La Liga,22,2001,18.3,4,0,0,26,10,0,0,15,19,0.0,0.0,0,49.0,26.0,25.0,51.0
Ander Herrera,ESP,MF,Athletic Club,La Liga,33,1989,11.4,4,0,0,21,11,0,13,15,32,0.0,0.0,0,76.0,14.0,24.0,36.8
Cristian Herrera,ESP,"FW,MF",Las Palmas,La Liga,32,1991,1.8,1,0,0,3,3,2,1,0,1,0.0,0.0,0,9.0,0.0,2.0,0.0
Sergio Herrera,ESP,GK,Osasuna,La Liga,30,1993,31.9,2,0,0,0,7,0,0,0,2,0.0,0.0,0,26.0,10.0,0.0,100.0
