player,nationality,position,team,comp_level,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Víctor Díaz,ESP,"DF,MF",Granada,La Liga,35,1988,1.8,1.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Famara Diedhiou,SEN,"FW,MF",Granada,La Liga,30,1992,1.0,7.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Justin Diehl,GER,"FW,MF",Köln,Bundesliga,18,2004,1.9,11.0,5.86,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bamba Dieng,SEN,FW,Lorient,Ligue 1,23,2000,6.1,19.0,3.11,9.0,0.0,1.0,3.0,6.0,0.0,4.0,0.65,2.0,0.0,0.0,2.0,0.0,0.0
Eric Dier,ENG,DF,Tottenham,Premier League,29,1994,2.2,2.0,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Dier,ENG,DF,Bayern Munich,Bundesliga,29,1994,13.0,13.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,5.0,0.39,4.0,0.0,0.0,1.0,0.0,0.0
Guillaume Dietsch,FRA,GK,Metz,Ligue 1,22,2001,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian Dietz,GER,"FW,MF",Köln,Bundesliga,24,1998,0.8,4.0,5.14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Digne,FRA,DF,Aston Villa,Premier League,30,1993,26.8,74.0,2.76,48.0,19.0,0.0,3.0,3.0,1.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0
Federico Dimarco,ITA,DF,Inter,Serie A,25,1997,23.1,108.0,4.68,78.0,21.0,2.0,5.0,1.0,1.0,14.0,0.61,10.0,2.0,0.0,2.0,0.0,0.0
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,1993,37.0,10.0,0.27,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,Bundesliga,22,2000,21.7,54.0,2.48,38.0,0.0,8.0,5.0,2.0,1.0,6.0,0.28,6.0,0.0,0.0,0.0,0.0,0.0
Eren Dinkçi,GER,"FW,MF",Heidenheim,Bundesliga,21,2001,29.4,86.0,2.92,61.0,5.0,7.0,7.0,6.0,0.0,13.0,0.44,9.0,0.0,3.0,1.0,0.0,0.0
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,22,2001,9.9,6.0,0.61,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Edan Diop,FRA,"MF,DF",Monaco,Ligue 1,18,2004,1.8,1.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Issa Diop,FRA,DF,Fulham,Premier League,26,1997,15.8,4.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane Diop,FRA,FW,Nice,Ligue 1,23,2000,5.5,17.0,3.07,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Diouf,FRA,MF,Lens,Ligue 1,20,2003,14.6,51.0,3.49,31.0,10.0,5.0,2.0,2.0,1.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,23,1999,34.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Disasi,FRA,DF,Chelsea,Premier League,25,1998,28.7,13.0,0.45,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiago Djaló,POR,DF,Juventus,Serie A,23,2000,0.2,1.0,5.29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chaim El Djebali,TUN,MF,Lyon,Ligue 1,19,2004,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djené,TOG,"DF,MF",Getafe,La Liga,31,1991,27.6,22.0,0.8,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koffi Djidji,CIV,DF,Torino,Serie A,30,1992,8.4,4.0,0.47,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berat Djimsiti,ALB,DF,Atalanta,Serie A,30,1993,31.5,18.0,0.57,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Marko Dmitrović,SRB,GK,Sevilla,La Liga,31,1992,13.0,3.0,0.23,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Doak,SCO,FW,Liverpool,Premier League,17,2005,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ritsu Doan,JPN,"DF,MF",Freiburg,Bundesliga,25,1998,25.0,70.0,2.81,48.0,8.0,7.0,2.0,5.0,0.0,7.0,0.28,6.0,0.0,0.0,0.0,1.0,0.0
Lewis Dobbin,ENG,MF,Everton,Premier League,20,2003,2.6,6.0,2.33,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dodô,BRA,DF,Fiorentina,Serie A,24,1998,5.8,15.0,2.59,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,25,1998,24.0,25.0,1.04,17.0,0.0,0.0,4.0,4.0,0.0,3.0,0.12,1.0,0.0,0.0,1.0,1.0,0.0
Matt Doherty,IRL,"DF,MF",Wolves,Premier League,31,1992,12.8,19.0,1.48,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Doig,SCO,DF,Hellas Verona,Serie A,21,2002,9.2,9.0,0.98,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Doig,SCO,DF,Sassuolo,Serie A,21,2002,14.9,27.0,1.81,19.0,6.0,0.0,2.0,0.0,0.0,4.0,0.27,2.0,1.0,0.0,1.0,0.0,0.0
Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,21,2002,17.7,111.0,6.26,82.0,1.0,17.0,6.0,5.0,0.0,15.0,0.85,10.0,0.0,2.0,1.0,2.0,0.0
Jeremy Doku,BEL,FW,Rennes,Ligue 1,21,2002,1.2,9.0,7.23,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaume Doménech,ESP,GK,Valencia,La Liga,32,1990,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,22,2001,17.6,13.0,0.74,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Mario Dominguez,ESP,FW,Valencia,La Liga,19,2004,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,25,1998,16.6,35.0,2.11,33.0,0.0,0.0,2.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0
Nicolás Domínguez,ARG,MF,Bologna,Serie A,25,1998,1.1,2.0,1.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giulio Donati,ITA,DF,Monza,Serie A,33,1990,0.4,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0
Jamie Donley,ENG,FW,Tottenham,Premier League,18,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,24,1999,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Dorgu,DEN,"DF,MF",Lecce,Serie A,18,2004,17.4,40.0,2.3,26.0,5.0,2.0,3.0,4.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,25,1998,15.4,18.0,1.17,12.0,0.0,1.0,2.0,2.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Alberto Dossena,ITA,DF,Cagliari,Serie A,24,1998,33.1,29.0,0.88,21.0,0.0,0.0,4.0,1.0,3.0,5.0,0.15,4.0,0.0,0.0,1.0,0.0,0.0
Carlos Dotor,ESP,MF,Celta Vigo,La Liga,22,2001,7.9,9.0,1.14,7.0,1.0,0.0,0.0,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,1.0,0.0
Abdoulaye Doucouré,MLI,"FW,MF",Everton,Premier League,30,1993,29.2,67.0,2.29,59.0,0.0,0.0,6.0,1.0,1.0,5.0,0.17,3.0,0.0,0.0,2.0,0.0,0.0
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,23,2000,10.2,23.0,2.25,19.0,0.0,1.0,2.0,0.0,1.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0
Siriné Doucouré,MLI,FW,Lorient,Ligue 1,21,2002,4.7,13.0,2.78,11.0,0.0,1.0,1.0,0.0,0.0,4.0,0.86,4.0,0.0,0.0,0.0,0.0,0.0
Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,18,2005,18.1,88.0,4.87,56.0,4.0,14.0,4.0,7.0,3.0,12.0,0.66,6.0,0.0,3.0,1.0,1.0,1.0
Guela Doué,CIV,DF,Rennes,Ligue 1,20,2002,13.7,39.0,2.84,28.0,2.0,2.0,3.0,3.0,1.0,8.0,0.58,6.0,0.0,0.0,0.0,2.0,0.0
Alfie Doughty,ENG,DF,Luton Town,Premier League,23,1999,32.5,115.0,3.54,57.0,47.0,4.0,6.0,1.0,0.0,16.0,0.49,8.0,5.0,1.0,2.0,0.0,0.0
Douglas,BRA,MF,Nantes,Ligue 1,26,1997,19.7,37.0,1.88,26.0,5.0,0.0,1.0,3.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0
Ismaël Doukouré,FRA,"MF,DF",Strasbourg,Ligue 1,20,2003,18.4,24.0,1.3,19.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamory Doumbia,MLI,MF,Brest,Ligue 1,20,2003,9.8,27.0,2.76,22.0,0.0,2.0,3.0,0.0,0.0,7.0,0.72,7.0,0.0,0.0,0.0,0.0,0.0
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,23,1999,10.1,20.0,1.99,11.0,0.0,3.0,4.0,2.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0
Artem Dovbyk,UKR,FW,Girona,La Liga,26,1997,28.7,57.0,1.98,41.0,0.0,6.0,8.0,2.0,0.0,13.0,0.45,9.0,0.0,1.0,3.0,0.0,0.0
Nikola Dovedan,AUT,"MF,FW",Heidenheim,Bundesliga,29,1994,7.3,23.0,3.17,16.0,0.0,1.0,3.0,3.0,0.0,3.0,0.41,2.0,0.0,0.0,0.0,1.0,0.0
Damion Downs,GER,"FW,MF",Köln,Bundesliga,19,2004,2.0,4.0,1.99,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Doyle,ENG,MF,Wolves,Premier League,21,2001,13.6,26.0,1.91,20.0,6.0,0.0,0.0,0.0,0.0,5.0,0.37,4.0,1.0,0.0,0.0,0.0,0.0
Radu Drăgușin,ROU,DF,Tottenham,Premier League,21,2002,4.8,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radu Drăgușin,ROU,DF,Genoa,Serie A,21,2002,19.0,12.0,0.63,7.0,2.0,0.0,3.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21,2002,6.5,21.0,3.25,12.0,0.0,3.0,2.0,4.0,0.0,3.0,0.46,1.0,0.0,0.0,1.0,1.0,0.0
Tim Drexler,GER,DF,Hoffenheim,Bundesliga,18,2005,6.4,5.0,0.79,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.47,3.0,0.0,0.0,0.0,0.0,0.0
Domingos Duarte,POR,DF,Getafe,La Liga,28,1995,10.1,4.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubén Duarte,ESP,DF,Alavés,La Liga,27,1995,20.9,32.0,1.54,21.0,8.0,1.0,1.0,1.0,0.0,2.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,34,1989,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,29,1994,30.0,109.0,3.64,51.0,40.0,5.0,9.0,3.0,1.0,14.0,0.47,7.0,5.0,0.0,1.0,1.0,0.0
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,28,1994,27.3,93.0,3.41,53.0,27.0,2.0,3.0,5.0,3.0,9.0,0.33,5.0,2.0,0.0,0.0,1.0,1.0
Denzel Dumfries,NED,DF,Inter,Serie A,27,1996,18.2,47.0,2.59,37.0,3.0,3.0,1.0,3.0,0.0,8.0,0.44,5.0,0.0,1.0,0.0,2.0,0.0
Paul Dummett,WAL,DF,Newcastle Utd,Premier League,31,1991,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred Duncan,GHA,MF,Fiorentina,Serie A,30,1993,21.0,60.0,2.86,44.0,11.0,2.0,2.0,0.0,1.0,10.0,0.48,6.0,2.0,0.0,2.0,0.0,0.0
Lewis Dunk,ENG,DF,Brighton,Premier League,31,1991,31.9,48.0,1.51,39.0,3.0,0.0,6.0,0.0,0.0,7.0,0.22,6.0,0.0,0.0,1.0,0.0,0.0
Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,19,2003,5.3,12.0,2.27,8.0,0.0,1.0,1.0,1.0,1.0,4.0,0.76,1.0,0.0,1.0,0.0,1.0,1.0
Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,17,2006,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Duro,ESP,FW,Valencia,La Liga,23,1999,33.1,49.0,1.48,25.0,0.0,4.0,5.0,14.0,1.0,9.0,0.27,4.0,0.0,1.0,1.0,3.0,0.0
Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,26,1997,15.0,12.0,0.8,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulo Dybala,ARG,"FW,MF",Roma,Serie A,29,1993,21.8,95.0,4.36,56.0,25.0,3.0,4.0,6.0,1.0,19.0,0.87,12.0,4.0,2.0,0.0,1.0,0.0
Aron Dønnum,NOR,"FW,MF",Toulouse,Ligue 1,25,1998,17.7,53.0,2.99,30.0,4.0,3.0,7.0,7.0,2.0,4.0,0.23,3.0,0.0,0.0,0.0,1.0,0.0
George Earthy,ENG,FW,West Ham,Premier League,18,2004,0.4,2.0,5.29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Ebonog,CMR,MF,Le Havre,Ligue 1,18,2004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Festy Ebosele,IRL,DF,Udinese,Serie A,20,2002,18.9,55.0,2.91,30.0,1.0,10.0,2.0,12.0,0.0,4.0,0.21,0.0,0.0,1.0,0.0,3.0,0.0
Enzo Ebosse,CMR,DF,Udinese,Serie A,24,1999,0.1,1.0,11.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyronne Ebuehi,NGA,DF,Empoli,Serie A,27,1995,12.2,17.0,1.39,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Ederson,BRA,GK,Manchester City,Premier League,29,1993,30.9,7.0,0.23,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
Éderson,BRA,MF,Atalanta,Serie A,24,1999,31.9,71.0,2.23,61.0,3.0,5.0,0.0,1.0,1.0,6.0,0.19,6.0,0.0,0.0,0.0,0.0,0.0
Odsonne Édouard,FRA,"FW,MF",Crystal Palace,Premier League,25,1998,17.3,45.0,2.6,29.0,0.0,7.0,7.0,1.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0
John Egan,IRL,DF,Sheffield Utd,Premier League,30,1992,5.4,1.0,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,26,1996,32.4,74.0,2.29,62.0,0.0,3.0,7.0,1.0,1.0,3.0,0.09,2.0,0.0,0.0,1.0,0.0,0.0
Lilian Egloff,GER,"MF,DF",Stuttgart,Bundesliga,20,2002,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsley Ehizibue,NED,DF,Udinese,Serie A,28,1995,10.6,23.0,2.17,14.0,0.0,2.0,3.0,4.0,0.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0
Hjalmar Ekdal,SWE,DF,Burnley,Premier League,24,1998,4.9,2.0,0.41,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,21,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,21,2002,8.0,28.0,3.52,13.0,0.0,6.0,3.0,5.0,1.0,4.0,0.5,2.0,0.0,1.0,0.0,1.0,0.0
Emmanuel Ekong,SWE,FW,Empoli,Serie A,21,2002,0.1,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Ekuban,GHA,FW,Genoa,Serie A,29,1994,12.6,35.0,2.79,17.0,0.0,5.0,4.0,9.0,0.0,3.0,0.24,1.0,0.0,1.0,0.0,1.0,0.0
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,21,2002,27.0,70.0,2.59,53.0,0.0,6.0,6.0,4.0,1.0,13.0,0.48,12.0,0.0,0.0,0.0,0.0,1.0
Simon Elisor,FRA,FW,Metz,Ligue 1,24,1999,8.5,19.0,2.24,13.0,0.0,1.0,1.0,4.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0
Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,20,2003,15.0,78.0,5.19,61.0,9.0,2.0,3.0,1.0,2.0,10.0,0.67,6.0,1.0,1.0,0.0,1.0,1.0
Elif Elmas,MKD,"FW,MF",Napoli,Serie A,23,1999,3.8,9.0,2.4,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elif Elmas,MKD,"MF,FW",RB Leipzig,Bundesliga,23,1999,3.0,7.0,2.36,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.34,1.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,EGY,MF,Arsenal,Premier League,31,1992,0.3,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,29,1994,9.0,13.0,1.44,7.0,2.0,0.0,3.0,0.0,1.0,2.0,0.22,0.0,0.0,0.0,2.0,0.0,0.0
Nico Elvedi,SUI,DF,Gladbach,Bundesliga,26,1996,27.6,22.0,0.8,20.0,0.0,0.0,2.0,0.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0
Adri Embarba,ESP,"FW,MF",Almería,La Liga,31,1992,27.5,108.0,3.93,59.0,25.0,8.0,6.0,6.0,4.0,8.0,0.29,4.0,1.0,0.0,3.0,0.0,0.0
Breel Embolo,SUI,FW,Monaco,Ligue 1,26,1997,2.0,10.0,4.95,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.49,1.0,0.0,0.0,0.0,0.0,0.0
Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,20,2003,23.1,28.0,1.21,16.0,0.0,5.0,3.0,4.0,0.0,5.0,0.22,1.0,0.0,1.0,2.0,1.0,0.0
Emerson,BRA,DF,Tottenham,Premier League,24,1999,12.9,21.0,1.63,15.0,2.0,0.0,1.0,2.0,1.0,3.0,0.23,1.0,2.0,0.0,0.0,0.0,0.0
Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,26,1997,28.6,22.0,0.77,13.0,0.0,1.0,4.0,2.0,2.0,8.0,0.28,4.0,0.0,0.0,1.0,1.0,2.0
Julio Enciso,PAR,"MF,FW",Brighton,Premier League,19,2004,5.3,23.0,4.34,15.0,0.0,5.0,3.0,0.0,0.0,2.0,0.38,2.0,0.0,0.0,0.0,0.0,0.0
Wataru Endo,JPN,MF,Liverpool,Premier League,30,1993,19.1,54.0,2.82,43.0,0.0,2.0,4.0,2.0,3.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0
Arne Engels,BEL,"MF,DF",Augsburg,Bundesliga,19,2003,15.6,40.0,2.56,28.0,8.0,0.0,2.0,2.0,0.0,8.0,0.51,5.0,1.0,0.0,0.0,2.0,0.0
Christian Eriksen,DEN,MF,Manchester Utd,Premier League,31,1992,12.7,46.0,3.63,36.0,8.0,0.0,0.0,0.0,2.0,3.0,0.24,2.0,0.0,0.0,0.0,0.0,1.0
Martin Erlic,CRO,DF,Sassuolo,Serie A,25,1998,29.1,12.0,0.41,8.0,1.0,0.0,1.0,2.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0
Gonzalo Escalante,ARG,MF,Cádiz,La Liga,30,1993,18.9,21.0,1.11,18.0,0.0,0.0,1.0,0.0,2.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0
Aarón Escandell,ESP,GK,Las Palmas,La Liga,27,1995,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,31,1992,27.9,54.0,1.94,44.0,3.0,3.0,3.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Bernardo Espinosa,COL,DF,Girona,La Liga,34,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxime Estève,FRA,DF,Burnley,Premier League,21,2002,14.5,8.0,0.55,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0
Maxime Estève,FRA,DF,Montpellier,Ligue 1,21,2002,11.1,11.0,0.93,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Oscar Estupiñan,COL,FW,Metz,Ligue 1,26,1996,2.9,2.0,0.69,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pervis Estupiñán,ECU,DF,Brighton,Premier League,25,1998,13.8,42.0,3.04,37.0,3.0,1.0,1.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
Karl Etta,CMR,FW,Cádiz,La Liga,19,2004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Evans,NIR,DF,Manchester Utd,Premier League,35,1988,15.5,11.0,0.71,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0
Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,25,1998,22.8,110.0,4.82,54.0,27.0,11.0,7.0,10.0,1.0,11.0,0.48,8.0,0.0,1.0,0.0,2.0,0.0
Abdessamad Ezzalzouli,MAR,"FW,MF",Barcelona,La Liga,21,2001,0.8,2.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdessamad Ezzalzouli,MAR,FW,Betis,La Liga,21,2001,9.6,20.0,2.08,12.0,1.0,3.0,1.0,3.0,0.0,2.0,0.21,1.0,1.0,0.0,0.0,0.0,0.0
Giovanni Fabbian,ITA,"MF,FW",Bologna,Serie A,20,2003,11.7,23.0,1.96,18.0,0.0,1.0,3.0,0.0,1.0,2.0,0.17,1.0,0.0,1.0,0.0,0.0,0.0
Łukasz Fabiański,POL,GK,West Ham,Premier League,38,1985,8.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolò Fagioli,ITA,MF,Juventus,Serie A,22,2001,4.9,16.0,3.29,9.0,6.0,0.0,1.0,0.0,0.0,2.0,0.41,1.0,1.0,0.0,0.0,0.0,0.0
Romain Faivre,FRA,"MF,FW",Bournemouth,Premier League,25,1998,0.5,1.0,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romain Faivre,FRA,"MF,FW",Lorient,Ligue 1,25,1998,16.1,43.0,2.66,28.0,7.0,3.0,3.0,2.0,0.0,6.0,0.37,4.0,0.0,0.0,2.0,0.0,0.0
Ilhan Fakili,FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,1.0,2.0,1.91,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radamel Falcao,COL,"FW,DF",Rayo Vallecano,La Liga,37,1986,4.5,13.0,2.87,8.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
