player,nationality,position,team,comp_level,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,9.0,3.4,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,40.0,1.61,32.0,2.0,2.0,2.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,47.0,1.63,43.0,0.0,0.0,4.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,21.0,2.43,19.0,0.0,2.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,24.0,1.34,16.0,1.0,0.0,0.0,7.0,0.0,3.0,0.17,0.0,0.0,0.0,0.0,3.0,0.0
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,14.0,0.68,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,47.0,2.2,43.0,1.0,1.0,2.0,0.0,0.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,9.0,2.3,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.77,3.0,0.0,0.0,0.0,0.0,0.0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,26.0,0.88,23.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,6.0,1.33,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.22,0.0,0.0,0.0,1.0,0.0,0.0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,38.0,2.02,25.0,5.0,3.0,1.0,3.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,65.0,2.51,41.0,9.0,6.0,3.0,6.0,0.0,5.0,0.19,2.0,0.0,0.0,0.0,3.0,0.0
Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,13.0,1.3,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,27.0,1.33,24.0,0.0,1.0,2.0,0.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,37.0,2.45,29.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,55.0,1.97,45.0,1.0,0.0,3.0,2.0,4.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0
Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,36.0,1.59,28.0,0.0,2.0,4.0,1.0,1.0,6.0,0.26,3.0,0.0,1.0,2.0,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,57.0,3.4,34.0,2.0,13.0,2.0,5.0,1.0,3.0,0.18,2.0,0.0,1.0,0.0,0.0,0.0
Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,32.0,1.72,22.0,3.0,4.0,1.0,2.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0
Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,19.0,2.09,12.0,1.0,3.0,2.0,0.0,1.0,1.0,0.11,0.0,0.0,0.0,1.0,0.0,0.0
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,88.0,4.91,59.0,11.0,6.0,3.0,4.0,5.0,9.0,0.5,7.0,0.0,0.0,0.0,0.0,2.0
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,6.0,1.75,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,5.0,0.64,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,1.0,1.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,16.0,1.31,13.0,0.0,2.0,0.0,1.0,0.0,3.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0
David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,12.8,18.0,1.4,13.0,4.0,0.0,1.0,0.0,0.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0
Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,25.7,118.0,4.6,81.0,29.0,0.0,7.0,0.0,1.0,9.0,0.35,8.0,1.0,0.0,0.0,0.0,0.0
Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,22.6,4.0,0.18,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,4.2,6.0,1.42,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,34.8,75.0,2.15,52.0,10.0,1.0,7.0,2.0,3.0,5.0,0.14,3.0,0.0,0.0,2.0,0.0,0.0
Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,24.4,31.0,1.27,24.0,0.0,4.0,2.0,1.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0
