player,nationality,position,team,comp_level,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Ethan Pinnock,JAM,DF,Brentford,Premier League,30,1993,28.0,1768.0,303.0,1001.0,661.0,113.0,43.0,1768.0,10.0,6.0,60.0,3.0,30.0,922.0,5095.0,3160.0,11.0,5.0,1.0,11.0,4.0,1025.0,16.0
Yeremi Pino,ESP,"MF,FW",Villarreal,La Liga,20,2002,5.3,261.0,8.0,57.0,83.0,126.0,22.0,261.0,17.0,9.0,52.9,6.0,35.3,156.0,787.0,333.0,11.0,5.0,8.0,16.0,9.0,166.0,49.0
Carlo Pinsoglio,ITA,GK,Juventus,Serie A,33,1990,0.5,23.0,22.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,17.0,61.0,26.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Lorenzo Pirola,ITA,DF,Salernitana,Serie A,21,2002,22.1,1280.0,198.0,664.0,567.0,53.0,21.0,1280.0,6.0,0.0,0.0,4.0,66.7,644.0,2936.0,1499.0,13.0,7.0,0.0,5.0,5.0,786.0,7.0
Niccolò Pisilli,ITA,MF,Roma,Serie A,18,2004,0.1,7.0,0.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,10.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0
Alassane Pléa,FRA,"FW,MF",Gladbach,Bundesliga,30,1993,21.3,972.0,6.0,71.0,472.0,446.0,90.0,971.0,53.0,21.0,39.6,26.0,49.1,635.0,3074.0,1633.0,56.0,44.0,21.0,34.0,33.0,766.0,157.0
Tommaso Pobega,ITA,MF,Milan,Serie A,24,1999,3.5,186.0,17.0,57.0,102.0,30.0,5.0,186.0,6.0,3.0,50.0,3.0,50.0,109.0,507.0,258.0,6.0,4.0,1.0,4.0,3.0,114.0,10.0
Paul Pogba,FRA,MF,Juventus,Serie A,30,1993,0.6,43.0,1.0,4.0,25.0,14.0,2.0,43.0,2.0,1.0,50.0,1.0,50.0,23.0,108.0,53.0,1.0,1.0,0.0,2.0,0.0,32.0,5.0
Ole Pohlmann,GER,MF,Dortmund,Bundesliga,22,2001,0.6,31.0,1.0,3.0,13.0,15.0,2.0,31.0,2.0,1.0,50.0,1.0,50.0,19.0,127.0,32.0,0.0,1.0,1.0,3.0,1.0,20.0,4.0
Matteo Politano,ITA,FW,Napoli,Serie A,29,1993,26.2,1550.0,14.0,166.0,555.0,845.0,86.0,1547.0,83.0,31.0,37.3,39.0,47.0,944.0,7031.0,3397.0,113.0,80.0,22.0,45.0,24.0,1155.0,216.0
Sebastian Polter,GER,FW,Darmstadt 98,Bundesliga,32,1991,5.0,161.0,6.0,11.0,78.0,73.0,23.0,161.0,5.0,2.0,40.0,3.0,60.0,80.0,311.0,78.0,5.0,1.0,1.0,16.0,7.0,133.0,26.0
Julien Ponceau,FRA,MF,Lorient,Ligue 1,22,2000,24.9,1471.0,30.0,233.0,771.0,499.0,52.0,1471.0,85.0,42.0,49.4,38.0,44.7,1139.0,8029.0,3775.0,106.0,93.0,14.0,47.0,41.0,1058.0,152.0
Marin Pongračić,CRO,DF,Lecce,Serie A,25,1997,35.8,2191.0,322.0,1143.0,1018.0,60.0,23.0,2191.0,23.0,15.0,65.2,4.0,17.4,1324.0,10044.0,5792.0,45.0,18.0,1.0,15.0,3.0,1324.0,7.0
Nick Pope,ENG,GK,Newcastle Utd,Premier League,31,1992,14.9,434.0,366.0,428.0,5.0,1.0,1.0,434.0,0.0,0.0,0.0,0.0,0.0,217.0,1147.0,633.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0
Pedro Porro,ESP,DF,Tottenham,Premier League,23,1999,34.3,2786.0,161.0,783.0,1098.0,929.0,69.0,2786.0,57.0,26.0,45.6,24.0,42.1,1369.0,5484.0,2925.0,57.0,46.0,10.0,37.0,15.0,1670.0,158.0
Portu,ESP,FW,Getafe,La Liga,31,1992,1.1,36.0,0.0,5.0,4.0,28.0,4.0,36.0,3.0,0.0,0.0,3.0,100.0,17.0,184.0,97.0,3.0,4.0,0.0,2.0,1.0,23.0,3.0
Portu,ESP,"MF,FW",Girona,La Liga,31,1992,13.2,426.0,4.0,43.0,183.0,207.0,55.0,426.0,19.0,4.0,21.1,14.0,73.7,270.0,1533.0,809.0,32.0,30.0,10.0,23.0,15.0,314.0,96.0
Stefan Posch,AUT,DF,Bologna,Serie A,26,1997,26.8,2358.0,117.0,852.0,1158.0,363.0,33.0,2358.0,26.0,11.0,42.3,13.0,50.0,1410.0,7113.0,3253.0,44.0,35.0,4.0,29.0,12.0,1618.0,64.0
Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,29,1994,13.5,424.0,16.0,44.0,214.0,175.0,62.0,424.0,22.0,12.0,54.5,7.0,31.8,257.0,950.0,369.0,11.0,10.0,5.0,25.0,20.0,317.0,78.0
José Pozo,ESP,MF,Rayo Vallecano,La Liga,27,1996,0.2,16.0,0.0,2.0,9.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,11.0,47.0,19.0,0.0,1.0,0.0,4.0,0.0,12.0,2.0
Alejandro Pozo Pozo,ESP,"DF,MF",Almería,La Liga,24,1999,10.8,708.0,28.0,186.0,340.0,184.0,11.0,708.0,14.0,1.0,7.1,12.0,85.7,353.0,1565.0,758.0,22.0,15.0,3.0,16.0,4.0,410.0,62.0
Beñat Prados,ESP,"MF,DF",Athletic Club,La Liga,22,2001,16.1,990.0,30.0,156.0,614.0,233.0,14.0,990.0,19.0,12.0,63.2,6.0,31.6,536.0,2501.0,1229.0,23.0,21.0,1.0,19.0,19.0,613.0,30.0
Matteo Prati,ITA,MF,Cagliari,Serie A,19,2003,21.9,945.0,33.0,217.0,574.0,164.0,22.0,945.0,9.0,4.0,44.4,5.0,55.6,407.0,1611.0,701.0,8.0,9.0,1.0,15.0,7.0,522.0,17.0
Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,30,1992,14.1,376.0,16.0,34.0,171.0,181.0,43.0,376.0,18.0,8.0,44.4,10.0,55.6,183.0,830.0,285.0,9.0,9.0,5.0,41.0,10.0,266.0,49.0
Sanjin Prcić,BIH,MF,Strasbourg,Ligue 1,29,1993,1.0,54.0,0.0,12.0,33.0,9.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,40.0,223.0,84.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0
Grischa Prömel,GER,MF,Hoffenheim,Bundesliga,28,1995,23.8,1209.0,54.0,222.0,698.0,297.0,36.0,1209.0,31.0,12.0,38.7,15.0,48.4,672.0,3350.0,1408.0,35.0,36.0,1.0,32.0,25.0,841.0,60.0
Ivan Provedel,ITA,GK,Lazio,Serie A,29,1994,30.0,1092.0,925.0,1075.0,17.0,0.0,0.0,1092.0,2.0,1.0,50.0,1.0,50.0,614.0,3186.0,1775.0,0.0,0.0,0.0,1.0,0.0,603.0,0.0
Pubill,ESP,DF,Almería,La Liga,20,2003,20.9,1250.0,112.0,435.0,555.0,278.0,33.0,1250.0,65.0,33.0,50.8,23.0,35.4,580.0,3384.0,1864.0,59.0,42.0,7.0,33.0,14.0,645.0,85.0
Gustavo Puerta,COL,"DF,MF",Leverkusen,Bundesliga,20,2003,0.5,53.0,2.0,5.0,38.0,10.0,0.0,53.0,1.0,1.0,100.0,0.0,0.0,37.0,186.0,44.0,1.0,1.0,0.0,1.0,0.0,39.0,1.0
Antonio Puertas,ESP,"MF,FW",Granada,La Liga,31,1992,8.1,321.0,3.0,43.0,137.0,148.0,33.0,319.0,31.0,15.0,48.4,15.0,48.4,210.0,1179.0,476.0,18.0,18.0,7.0,24.0,11.0,218.0,46.0
Arnau Puigmal,ESP,"FW,DF",Almería,La Liga,22,2001,2.8,122.0,2.0,20.0,56.0,48.0,2.0,122.0,7.0,2.0,28.6,4.0,57.1,76.0,437.0,210.0,4.0,3.0,0.0,7.0,2.0,78.0,17.0
Christian Pulisic,USA,"FW,MF",Milan,Serie A,24,1998,28.9,1389.0,15.0,113.0,588.0,709.0,128.0,1389.0,122.0,47.0,38.5,54.0,44.3,995.0,7489.0,3876.0,131.0,62.0,46.0,70.0,33.0,1112.0,293.0
George Pușcaș,ROU,FW,Genoa,Serie A,27,1996,2.1,92.0,2.0,2.0,45.0,46.0,17.0,92.0,3.0,1.0,33.3,2.0,66.7,58.0,319.0,119.0,5.0,5.0,3.0,10.0,6.0,75.0,17.0
Jarell Quansah,ENG,DF,Liverpool,Premier League,20,2003,13.2,1284.0,92.0,521.0,724.0,46.0,8.0,1284.0,7.0,4.0,57.1,3.0,42.9,894.0,4943.0,2497.0,13.0,10.0,0.0,3.0,2.0,952.0,1.0
Domingos Quina,POR,MF,Udinese,Serie A,23,1999,0.1,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
