player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,24.8,1503.0,1447.0,53.0,34.0,3.0,5.0,12,13.0,6.0,3.0,0.0,0.0,1370.0,3.0,17.0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,28.8,1838.0,1728.0,106.0,50.0,5.0,11.0,6,48.0,0.0,0.0,0.0,0.0,1599.0,4.0,11.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,100.0,72.0,28.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0
Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,0.1,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,8.6,360.0,356.0,4.0,4.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,301.0,0.0,6.0
Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,669.0,538.0,128.0,3.0,0.0,2.0,46,124.0,1.0,0.0,0.0,0.0,488.0,3.0,30.0
Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,20.6,1177.0,1100.0,75.0,55.0,1.0,29.0,5,6.0,0.0,0.0,0.0,0.0,943.0,2.0,5.0
Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,21.4,1282.0,1094.0,185.0,17.0,3.0,1.0,75,168.0,0.0,0.0,0.0,0.0,1044.0,3.0,35.0
Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,187.0,183.0,4.0,1.0,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,150.0,0.0,8.0
Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,988.0,950.0,36.0,11.0,1.0,2.0,6,25.0,0.0,0.0,0.0,0.0,745.0,2.0,20.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,4.5,185.0,175.0,10.0,6.0,1.0,0.0,0,4.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,802.0,649.0,150.0,12.0,2.0,2.0,28,138.0,0.0,0.0,0.0,0.0,603.0,3.0,17.0
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,1190.0,1047.0,138.0,24.0,2.0,5.0,41,106.0,8.0,5.0,2.0,0.0,1005.0,5.0,24.0
Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,10.0,203.0,193.0,7.0,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0,154.0,3.0,4.0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,20.4,810.0,730.0,79.0,9.0,1.0,9.0,22,65.0,0.0,0.0,0.0,0.0,610.0,1.0,11.0
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,453.0,423.0,28.0,2.0,2.0,4.0,3,0.0,0.0,0.0,0.0,0.0,318.0,2.0,6.0
Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,2334.0,2261.0,71.0,34.0,4.0,15.0,9,27.0,0.0,0.0,0.0,0.0,2180.0,2.0,10.0
Marley Aké,FRA,FW,Udinese,Serie A,22,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,22.7,1864.0,1744.0,118.0,32.0,1.0,3.0,11,81.0,0.0,0.0,0.0,0.0,1716.0,2.0,14.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,481.0,464.0,14.0,5.0,4.0,2.0,29,5.0,4.0,1.0,1.0,0.0,372.0,3.0,14.0
Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,18.6,801.0,630.0,169.0,19.0,1.0,5.0,57,148.0,2.0,0.0,1.0,0.0,620.0,2.0,22.0
Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,9.1,350.0,287.0,61.0,3.0,0.0,0.0,21,57.0,0.0,0.0,0.0,0.0,277.0,2.0,8.0
Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,0.2,8.0,7.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,833.0,773.0,54.0,12.0,8.0,2.0,54,3.0,37.0,14.0,8.0,0.0,645.0,6.0,24.0
Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,0.3,17.0,17.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,3.4,185.0,183.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,2.0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,7.8,263.0,260.0,3.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,220.0,0.0,11.0
